k,epsilon,N,k2,k1,data_duplication,store_complexity
8,0.1,10000,116,13,10.775862068965518,442.01042714716914
8,0.1,10000,115,14,10.869565217391305,417.4993248717256
8,0.1,10000,114,14,10.964912280701755,424.7460757156048
8,0.1,10000,113,14,11.061946902654867,432.18509112471054
8,0.1,10000,112,14,11.160714285714286,439.82325072886294
8,0.1,10000,111,14,11.26126126126126,447.6677449650423
8,0.1,10000,110,14,11.363636363636363,455.72609208972847
8,0.1,10000,109,14,11.46788990825688,464.0061562879507
8,0.1,10000,108,14,11.574074074074074,472.5161669606114
8,0.1,10000,107,14,11.682242990654206,481.2647392785396
8,0.1,10000,106,14,11.79245283018868,490.26089609927277
8,0.1,10000,105,14,11.904761904761905,499.514091350826
8,0.1,10000,104,14,12.01923076923077,509.03423499577343
8,0.1,10000,103,15,12.135922330097088,484.24293838564745
8,0.1,10000,102,15,12.254901960784315,493.6562860438293
8,0.1,10000,101,15,12.376237623762377,503.3493448354737
8,0.1,10000,100,15,12.5,513.3333333333334
8,0.1,10000,99,15,12.626262626262626,523.6200387715539
8,0.1,10000,98,15,12.755102040816327,534.2218520061085
8,0.1,10000,97,15,12.88659793814433,545.1518050093881
8,0.1,10000,96,15,13.020833333333334,556.4236111111111
8,0.1,10000,95,15,13.157894736842104,568.0517082179132
8,0.1,10000,94,15,13.297872340425531,580.0513052663347
8,0.1,10000,93,15,13.440860215053764,592.4384321886923
8,0.1,10000,92,15,13.58695652173913,605.2299936988028
8,0.1,10000,91,15,13.736263736263735,618.443827235036
8,0.1,10000,90,16,13.88888888888889,592.5925925925926
8,0.1,10000,89,16,14.044943820224718,605.8262845600303
8,0.1,10000,88,16,14.204545454545455,619.5118801652893
8,0.1,10000,87,16,14.367816091954023,633.6702338485929
8,0.1,10000,86,16,14.534883720930232,648.3234180638183
8,0.1,10000,85,16,14.705882352941176,663.4948096885813
8,0.1,10000,84,16,14.880952380952381,679.2091836734694
8,0.1,10000,83,16,15.060240963855422,695.4928146320221
8,0.1,10000,82,16,15.24390243902439,712.3735871505056
8,0.1,10000,81,16,15.432098765432098,729.8811156835848
8,0.1,10000,80,16,15.625,748.046875
8,0.1,10000,79,16,15.822784810126583,766.9043422528441
8,0.1,10000,78,17,16.025641025641026,740.2250841164869
8,0.1,10000,77,17,16.233766233766232,759.3781314178565
8,0.1,10000,76,17,16.44736842105263,779.289555157243
8,0.1,10000,75,17,16.666666666666668,800.0
8,0.1,10000,74,17,16.89189189189189,821.5528724272763
8,0.1,10000,73,17,17.123287671232877,843.9945691168192
8,0.1,10000,72,17,17.36111111111111,867.3747276688453
8,0.1,10000,71,17,17.6056338028169,891.7465022112793
8,0.1,10000,70,17,17.857142857142858,917.1668667466987
8,0.1,10000,69,17,18.115942028985508,943.6969494792246
8,0.1,10000,68,18,18.38235294117647,917.435601691657
8,0.1,10000,67,18,18.65671641791045,944.7785945892429
8,0.1,10000,66,18,18.939393939393938,973.3700642791553
8,0.1,10000,65,18,19.23076923076923,1003.2873109796187
8,0.1,10000,64,18,19.53125,1034.6137152777778
8,0.1,10000,63,18,19.841269841269842,1067.4393214075753
8,0.1,10000,62,18,20.161290322580644,1101.8614868770956
8,0.1,10000,61,18,20.491803278688526,1137.9856072143093
8,0.1,10000,60,18,20.833333333333332,1175.9259259259259
8,0.1,10000,59,19,21.1864406779661,1151.8166286154917
8,0.1,10000,58,19,21.551724137931036,1191.5639276550473
8,0.1,10000,57,19,21.92982456140351,1233.4159498469164
8,0.1,10000,56,19,22.321428571428573,1277.5241675617615
8,0.1,10000,55,19,22.727272727272727,1324.053936494128
8,0.1,10000,54,19,23.14814814814815,1373.1860515486248
8,0.1,10000,53,19,23.58490566037736,1425.1185100522755
8,0.1,10000,52,19,24.03846153846154,1480.06851448147
8,0.1,10000,51,20,24.50980392156863,1461.3610149942328
8,0.1,10000,50,20,25.0,1520.0
8,0.1,10000,49,20,25.510204081632654,1582.2573927530195
8,0.1,10000,48,20,26.041666666666668,1648.4375
8,0.1,10000,47,20,26.595744680851062,1718.8773200543233
8,0.1,10000,46,20,27.17391304347826,1793.9508506616255
8,0.1,10000,45,20,27.77777777777778,1874.0740740740741
8,0.1,10000,44,20,28.40909090909091,1959.7107438016528
8,0.1,10000,43,21,29.069767441860463,1953.694403667362
8,0.1,10000,42,21,29.761904761904763,2047.2951085195984
8,0.1,10000,41,21,30.48780487804878,2147.81450950398
8,0.1,10000,40,21,31.25,2255.952380952381
8,0.1,10000,39,21,32.05128205128205,2372.4992955762186
8,0.1,10000,38,21,32.89473684210526,2498.3511410104206
8,0.1,10000,37,22,33.78378378378378,2514.7752174779203
8,0.1,10000,36,22,34.72222222222222,2655.723905723906
8,0.1,10000,35,22,35.714285714285715,2808.905380333952
8,0.1,10000,34,22,36.76470588235294,2975.7785467128024
8,0.1,10000,33,22,37.878787878787875,3158.0265464562985
8,0.1,10000,32,22,39.0625,3357.599431818182
8,0.1,10000,31,22,40.32258064516129,3576.766625674014
8,0.1,10000,30,23,41.666666666666664,3652.1739130434785
8,0.1,10000,29,23,43.10344827586207,3907.356666494339
8,0.1,10000,28,23,44.642857142857146,4190.328305235137
8,0.1,10000,27,23,46.2962962962963,4505.278225084989
8,0.1,10000,26,23,48.07692307692308,4857.216362233085
8,0.1,10000,25,24,50.0,5033.333333333333
8,0.1,10000,24,24,52.083333333333336,5460.069444444445
8,0.1,10000,23,24,54.34782608695652,5943.604284814115
8,0.1,10000,22,24,56.81818181818182,6494.490358126722
8,0.1,10000,21,24,59.523809523809526,7125.850340136055
8,0.1,10000,20,24,62.5,7854.166666666667
8,0.1,10000,19,25,65.78947368421052,8352.354570637119
8,0.1,10000,18,25,69.44444444444444,9303.703703703704
8,0.1,10000,17,25,73.52941176470588,10427.681660899654
8,0.1,10000,16,25,78.125,11768.75
8,0.1,10000,15,26,83.33333333333333,12871.794871794871
8,0.1,10000,14,26,89.28571428571429,14772.370486656202
8,0.1,10000,13,26,96.15384615384616,17127.901684114702
8,0.1,10000,12,26,104.16666666666667,20096.153846153844
