k,epsilon,N,k2,k1,data_duplication,store_complexity
8,0.05,2500,30,3,10.416666666666666,1791.6666666666667
8,0.05,2500,29,3,10.775862068965518,1915.3785176377328
8,0.05,2500,28,3,11.160714285714286,2052.5085034013605
8,0.05,2500,27,3,11.574074074074074,2205.0754458161864
8,0.05,2500,26,3,12.01923076923077,2375.493096646943
8,0.05,2500,25,3,12.5,2566.6666666666665
8,0.05,2500,24,3,13.020833333333334,2782.1180555555557
8,0.05,2500,23,3,13.58695652173913,3026.149968494014
8,0.05,2500,22,3,14.204545454545455,3304.0633608815424
8,0.05,2500,21,3,14.880952380952381,3622.448979591837
8,0.05,2500,20,3,15.625,3989.5833333333335
8,0.05,2500,19,3,16.44736842105263,4415.974145891044
8,0.05,2500,18,3,17.36111111111111,4915.123456790123
8,0.05,2500,17,3,18.38235294117647,5504.613610149942
8,0.05,2500,16,3,19.53125,6207.682291666667
8,0.05,2500,15,3,20.833333333333332,7055.555555555556
8,0.05,2500,14,3,22.321428571428573,8090.986394557824
8,0.05,2500,13,3,24.03846153846154,9373.767258382644
8,0.05,2500,12,3,26.041666666666668,10989.583333333334
8,0.05,2500,11,3,28.40909090909091,13064.73829201102
8,0.05,2500,10,3,31.25,15791.666666666666
8,0.05,2500,9,3,34.72222222222222,19475.30864197531
8,0.05,2500,8,3,39.0625,24622.395833333332
8,0.05,2500,7,3,44.642857142857146,32125.850340136054
8,0.05,2500,6,3,52.083333333333336,43680.55555555556
8,0.05,2500,5,3,62.5,62833.333333333336
8,0.05,2500,4,3,78.125,98072.91666666667
8,0.05,2500,3,3,104.16666666666667,174166.6666666667
8,0.05,2500,2,3,156.25,391458.3333333333
8,0.05,2500,1,3,312.5,1564166.6666666667
