k,epsilon,N,k2,k1,data_duplication,store_complexity
8,0.05,5000,59,5,10.59322033898305,1111.1749497270898
8,0.05,5000,58,5,10.775862068965518,1149.2271105826399
8,0.05,5000,57,5,10.964912280701755,1189.2890120036936
8,0.05,5000,56,5,11.160714285714286,1231.5051020408164
8,0.05,5000,55,5,11.363636363636363,1276.0330578512396
8,0.05,5000,54,5,11.574074074074074,1323.045267489712
8,0.05,5000,53,5,11.79245283018868,1372.7305090779637
8,0.05,5000,52,5,12.01923076923077,1425.2958579881658
8,0.05,5000,51,5,12.254901960784315,1480.9688581314879
8,0.05,5000,50,5,12.5,1540.0
8,0.05,5000,49,5,12.755102040816327,1602.6655560183258
8,0.05,5000,48,6,13.020833333333334,1391.0590277777778
8,0.05,5000,47,6,13.297872340425531,1450.1282631658369
8,0.05,5000,46,6,13.58695652173913,1513.074984247007
8,0.05,5000,45,6,13.88888888888889,1580.2469135802469
8,0.05,5000,44,6,14.204545454545455,1652.0316804407712
8,0.05,5000,43,6,14.534883720930232,1728.8624481701822
8,0.05,5000,42,6,14.880952380952381,1811.2244897959185
8,0.05,5000,41,6,15.24390243902439,1899.6628990680151
8,0.05,5000,40,6,15.625,1994.7916666666667
8,0.05,5000,39,6,16.025641025641026,2097.304404996713
8,0.05,5000,38,6,16.44736842105263,2207.987072945522
8,0.05,5000,37,6,16.89189189189189,2327.7331385439493
8,0.05,5000,36,6,17.36111111111111,2457.5617283950614
8,0.05,5000,35,6,17.857142857142858,2598.6394557823132
8,0.05,5000,34,6,18.38235294117647,2752.306805074971
8,0.05,5000,33,6,18.939393939393938,2920.1101928374655
8,0.05,5000,32,6,19.53125,3103.8411458333335
8,0.05,5000,31,6,20.161290322580644,3305.584460631287
8,0.05,5000,30,6,20.833333333333332,3527.777777777778
8,0.05,5000,29,6,21.551724137931036,3773.2857709076497
8,0.05,5000,28,6,22.321428571428573,4045.493197278912
8,0.05,5000,27,6,23.14814814814815,4348.422496570644
8,0.05,5000,26,6,24.03846153846154,4686.883629191322
8,0.05,5000,25,6,25.0,5066.666666666667
8,0.05,5000,24,6,26.041666666666668,5494.791666666667
8,0.05,5000,23,6,27.17391304347826,5979.836168872086
8,0.05,5000,22,6,28.40909090909091,6532.36914600551
8,0.05,5000,21,6,29.761904761904763,7165.532879818595
8,0.05,5000,20,6,31.25,7895.833333333333
8,0.05,5000,19,6,32.89473684210526,8744.228993536473
8,0.05,5000,18,6,34.72222222222222,9737.654320987655
8,0.05,5000,17,7,36.76470588235294,9352.44686109738
8,0.05,5000,16,7,39.0625,10552.455357142857
8,0.05,5000,15,7,41.666666666666664,12000.0
8,0.05,5000,14,7,44.642857142857146,13768.221574344023
8,0.05,5000,13,7,48.07692307692308,15959.42519019442
8,0.05,5000,12,7,52.083333333333336,18720.238095238095
8,0.05,5000,11,7,56.81818181818182,22266.824085005905
8,0.05,5000,10,7,62.5,26928.571428571428
8,0.05,5000,9,7,69.44444444444444,33227.51322751323
8,0.05,5000,8,7,78.125,42031.25
8,0.05,5000,7,7,89.28571428571429,54868.80466472303
8,0.05,5000,6,7,104.16666666666667,74642.85714285714
8,0.05,5000,5,7,125.0,107428.57142857143
8,0.05,5000,4,7,156.25,167767.85714285716
8,0.05,5000,3,7,208.33333333333334,298095.2380952381
8,0.05,5000,2,7,312.5,670357.1428571428
8,0.05,5000,1,7,625.0,2680000.0
