k,epsilon,N,k2,k1,data_duplication,store_complexity
8,0.1,2500,30,5,10.416666666666666,1075.0
8,0.1,2500,29,5,10.775862068965518,1149.2271105826399
8,0.1,2500,28,6,11.160714285714286,1026.2542517006802
8,0.1,2500,27,6,11.574074074074074,1102.5377229080932
8,0.1,2500,26,6,12.01923076923077,1187.7465483234714
8,0.1,2500,25,6,12.5,1283.3333333333333
8,0.1,2500,24,6,13.020833333333334,1391.0590277777778
8,0.1,2500,23,6,13.58695652173913,1513.074984247007
8,0.1,2500,22,6,14.204545454545455,1652.0316804407712
8,0.1,2500,21,6,14.880952380952381,1811.2244897959185
8,0.1,2500,20,6,15.625,1994.7916666666667
8,0.1,2500,19,6,16.44736842105263,2207.987072945522
8,0.1,2500,18,6,17.36111111111111,2457.5617283950614
8,0.1,2500,17,6,18.38235294117647,2752.306805074971
8,0.1,2500,16,6,19.53125,3103.8411458333335
8,0.1,2500,15,6,20.833333333333332,3527.777777777778
8,0.1,2500,14,6,22.321428571428573,4045.493197278912
8,0.1,2500,13,6,24.03846153846154,4686.883629191322
8,0.1,2500,12,6,26.041666666666668,5494.791666666667
8,0.1,2500,11,6,28.40909090909091,6532.36914600551
8,0.1,2500,10,7,31.25,6767.857142857143
8,0.1,2500,9,7,34.72222222222222,8346.560846560847
8,0.1,2500,8,7,39.0625,10552.455357142857
8,0.1,2500,7,7,44.642857142857146,13768.221574344023
8,0.1,2500,6,7,52.083333333333336,18720.238095238095
8,0.1,2500,5,7,62.5,26928.571428571428
8,0.1,2500,4,7,78.125,42031.25
8,0.1,2500,3,7,104.16666666666667,74642.85714285714
8,0.1,2500,2,7,156.25,167767.85714285716
8,0.1,2500,1,7,312.5,670357.1428571428
