k,epsilon,N,k2,k1,data_duplication,store_complexity
8,0.05,10000,116,8,10.775862068965518,718.2669441141499
8,0.05,10000,115,8,10.869565217391305,730.6238185255198
8,0.05,10000,114,9,10.964912280701755,660.7161177798297
8,0.05,10000,113,9,11.061946902654867,672.2879195273274
8,0.05,10000,112,9,11.160714285714286,684.1695011337869
8,0.05,10000,111,9,11.26126126126126,696.3720477233991
8,0.05,10000,110,9,11.363636363636363,708.9072543617998
8,0.05,10000,109,9,11.46788990825688,721.7873542257012
8,0.05,10000,108,9,11.574074074074074,735.0251486053954
8,0.05,10000,107,9,11.682242990654206,748.6340388777282
8,0.05,10000,106,9,11.79245283018868,762.6280605988687
8,0.05,10000,105,9,11.904761904761905,777.0219198790627
8,0.05,10000,104,9,12.01923076923077,791.8310322156476
8,0.05,10000,103,9,12.135922330097088,807.071563976079
8,0.05,10000,102,9,12.254901960784315,822.7604767397155
8,0.05,10000,101,9,12.376237623762377,838.9155747257894
8,0.05,10000,100,9,12.5,855.5555555555555
8,0.05,10000,99,9,12.626262626262626,872.7000646192565
8,0.05,10000,98,9,12.755102040816327,890.3697533435143
8,0.05,10000,97,9,12.88659793814433,908.5863416823137
8,0.05,10000,96,9,13.020833333333334,927.3726851851852
8,0.05,10000,95,9,13.157894736842104,946.7528470298553
8,0.05,10000,94,9,13.297872340425531,966.7521754438912
8,0.05,10000,93,9,13.440860215053764,987.3973869811539
8,0.05,10000,92,9,13.58695652173913,1008.7166561646713
8,0.05,10000,91,9,13.736263736263735,1030.7397120583933
8,0.05,10000,90,9,13.88888888888889,1053.4979423868315
8,0.05,10000,89,9,14.044943820224718,1077.0245058844985
8,0.05,10000,88,9,14.204545454545455,1101.3544536271809
8,0.05,10000,87,10,14.367816091954023,1013.8723741577487
8,0.05,10000,86,10,14.534883720930232,1037.3174689021093
8,0.05,10000,85,10,14.705882352941176,1061.59169550173
8,0.05,10000,84,10,14.880952380952381,1086.734693877551
8,0.05,10000,83,10,15.060240963855422,1112.7885034112353
8,0.05,10000,82,10,15.24390243902439,1139.7977394408092
8,0.05,10000,81,10,15.432098765432098,1167.8097850937359
8,0.05,10000,80,10,15.625,1196.875
8,0.05,10000,79,10,15.822784810126583,1227.0469476045507
8,0.05,10000,78,10,16.025641025641026,1258.3826429980277
8,0.05,10000,77,10,16.233766233766232,1290.942823410356
8,0.05,10000,76,10,16.44736842105263,1324.792243767313
8,0.05,10000,75,10,16.666666666666668,1360.0
8,0.05,10000,74,10,16.89189189189189,1396.6398831263696
8,0.05,10000,73,10,17.123287671232877,1434.7907674985925
8,0.05,10000,72,10,17.36111111111111,1474.5370370370372
8,0.05,10000,71,10,17.6056338028169,1515.9690537591748
8,0.05,10000,70,10,17.857142857142858,1559.183673469388
8,0.05,10000,69,10,18.115942028985508,1604.2848141146817
8,0.05,10000,68,10,18.38235294117647,1651.3840830449828
8,0.05,10000,67,10,18.65671641791045,1700.601470260637
8,0.05,10000,66,10,18.939393939393938,1752.0661157024792
8,0.05,10000,65,10,19.23076923076923,1805.9171597633135
8,0.05,10000,64,11,19.53125,1693.0042613636365
8,0.05,10000,63,11,19.841269841269842,1746.7188895760326
8,0.05,10000,62,11,20.161290322580644,1803.0460694352473
8,0.05,10000,61,11,20.491803278688526,1862.1582663506877
8,0.05,10000,60,11,20.833333333333332,1924.2424242424242
8,0.05,10000,59,11,21.1864406779661,1989.5014494267584
8,0.05,10000,58,11,21.551724137931036,2058.155875040536
8,0.05,10000,57,11,21.92982456140351,2130.4457315537647
8,0.05,10000,56,11,22.321428571428573,2206.632653061224
8,0.05,10000,55,11,22.727272727272727,2287.002253944403
8,0.05,10000,54,11,23.14814814814815,2371.8668163112607
8,0.05,10000,53,11,23.58490566037736,2461.5683355448396
8,0.05,10000,52,11,24.03846153846154,2556.481979558903
8,0.05,10000,51,11,24.50980392156863,2657.0200272622415
8,0.05,10000,50,11,25.0,2763.636363636364
8,0.05,10000,49,11,25.510204081632654,2876.831623187308
8,0.05,10000,48,11,26.041666666666668,2997.159090909091
8,0.05,10000,47,11,26.595744680851062,3125.2314910078603
8,0.05,10000,46,11,27.17391304347826,3261.728819384774
8,0.05,10000,45,11,27.77777777777778,3407.4074074074074
8,0.05,10000,44,12,28.40909090909091,3266.184573002755
8,0.05,10000,43,12,29.069767441860463,3418.9652064178836
8,0.05,10000,42,12,29.761904761904763,3582.7664399092973
8,0.05,10000,41,12,30.48780487804878,3758.675391631965
8,0.05,10000,40,12,31.25,3947.9166666666665
8,0.05,10000,39,12,32.05128205128205,4151.873767258383
8,0.05,10000,38,12,32.89473684210526,4372.114496768237
8,0.05,10000,37,12,33.78378378378378,4610.421232042854
8,0.05,10000,36,12,34.72222222222222,4868.827160493827
8,0.05,10000,35,12,35.714285714285715,5149.659863945579
8,0.05,10000,34,12,36.76470588235294,5455.594002306805
8,0.05,10000,33,12,37.878787878787875,5789.715335169881
8,0.05,10000,32,12,39.0625,6155.598958333333
8,0.05,10000,31,12,40.32258064516129,6557.405480402359
8,0.05,10000,30,12,41.666666666666664,7000.0
8,0.05,10000,29,12,43.10344827586207,7489.100277447483
8,0.05,10000,28,13,44.642857142857146,7413.657770800628
8,0.05,10000,27,13,46.2962962962963,7970.876859765749
8,0.05,10000,26,13,48.07692307692308,8593.53664087392
8,0.05,10000,25,13,50.0,9292.307692307691
8,0.05,10000,24,13,52.083333333333336,10080.128205128205
8,0.05,10000,23,13,54.34782608695652,10972.807910426058
8,0.05,10000,22,13,56.81818181818182,11989.828353464716
8,0.05,10000,21,13,59.523809523809526,13155.41601255887
8,0.05,10000,20,13,62.5,14500.0
8,0.05,10000,19,13,65.78947368421052,16062.220328148307
8,0.05,10000,18,13,69.44444444444444,17891.737891737892
8,0.05,10000,17,13,73.52941176470588,20053.233963268565
8,0.05,10000,16,13,78.125,22632.21153846154
8,0.05,10000,15,13,83.33333333333333,25743.589743589742
8,0.05,10000,14,13,89.28571428571429,29544.740973312404
