epsilon,N,k2,k1,data_duplication,store_complexity
0.05,10000,277,5,36.101083032490976,1578.3862685555657
0.05,10000,276,5,36.231884057971016,1589.7920604914934
0.05,10000,275,5,36.36363636363637,1601.3223140495868
0.05,10000,274,5,36.496350364963504,1612.9788481005914
0.05,10000,273,5,36.63003663003663,1624.763514873405
0.05,10000,272,5,36.76470588235294,1636.6782006920416
0.05,10000,271,5,36.90036900369004,1648.7248267316622
0.05,10000,270,5,37.03703703703704,1660.9053497942386
0.05,10000,269,5,37.174721189591075,1673.2217631044348
0.05,10000,268,5,37.3134328358209,1685.6760971263086
0.05,10000,267,5,37.453183520599254,1698.2704204014644
0.05,10000,266,5,37.59398496240601,1711.0068404092938
0.05,10000,265,5,37.735849056603776,1723.887504449982
0.05,10000,264,5,37.878787878787875,1736.9146005509642
0.05,10000,263,5,38.02281368821293,1750.090358397548
0.05,10000,262,5,38.16793893129771,1763.4170502884447
0.05,10000,261,5,38.31417624521073,1776.8969921169682
0.05,10000,260,5,38.46153846153846,1790.5325443786983
0.05,10000,259,5,38.61003861003861,1804.326113206422
0.05,10000,258,5,38.75968992248062,1818.2801514332073
0.05,10000,257,6,38.91050583657587,1526.9976330703971
0.05,10000,256,6,39.0625,1538.8997395833333
0.05,10000,255,6,39.21568627450981,1550.9419454056133
0.05,10000,254,6,39.37007874015748,1563.1264595862524
0.05,10000,253,6,39.52569169960474,1575.4555348987383
0.05,10000,252,6,39.682539682539684,1587.93146888385
0.05,10000,251,6,39.8406374501992,1600.556604921615
0.05,10000,250,6,40.0,1613.3333333333333
0.05,10000,249,6,40.16064257028113,1626.2640925146368
0.05,10000,248,6,40.32258064516129,1639.3513701005897
0.05,10000,247,6,40.48582995951417,1652.5977041638666
0.05,10000,246,6,40.65040650406504,1666.0056844470885
0.05,10000,245,6,40.816326530612244,1679.577953630432
0.05,10000,244,6,40.98360655737705,1693.3172086356712
0.05,10000,243,6,41.1522633744856,1707.2262019678572
0.05,10000,242,6,41.32231404958678,1721.3077430958724
0.05,10000,241,6,41.49377593360996,1735.5646998731656
0.05,10000,240,6,41.666666666666664,1750.0
