epsilon,N,k2,k1,data_duplication,store_complexity
0.1,5000,141,6,35.46099290780142,1269.3023489764096
0.1,5000,140,6,35.714285714285715,1287.4149659863947
0.1,5000,139,6,35.97122302158273,1305.9192933423046
0.1,5000,138,6,36.231884057971016,1324.8267170762444
0.1,5000,137,6,36.496350364963504,1344.149040083826
0.1,5000,136,6,36.76470588235294,1363.8985005767013
0.1,5000,135,6,37.03703703703704,1384.0877914951989
0.1,5000,134,6,37.3134328358209,1404.7300809385906
0.1,5000,133,6,37.59398496240601,1425.8390336744117
0.1,5000,132,6,37.878787878787875,1447.4288337924702
0.1,5000,131,6,38.16793893129771,1469.5142085737039
0.1,5000,130,6,38.46153846153846,1492.1104536489154
0.1,5000,129,6,38.75968992248062,1515.2334595276727
0.1,5000,128,6,39.0625,1538.8997395833333
0.1,5000,127,6,39.37007874015748,1563.1264595862524
0.1,5000,126,6,39.682539682539684,1587.93146888385
0.1,5000,125,6,40.0,1613.3333333333333
0.1,5000,124,6,40.32258064516129,1639.3513701005897
0.1,5000,123,6,40.65040650406504,1666.0056844470885
0.1,5000,122,6,40.98360655737705,1693.3172086356712
0.1,5000,121,6,41.32231404958678,1721.3077430958724
0.1,5000,120,7,41.666666666666664,1500.0
0.1,5000,119,7,42.016806722689076,1525.2151280680341
0.1,5000,118,7,42.3728813559322,1551.0731727336151
0.1,5000,117,7,42.73504273504273,1577.5961929808082
0.1,5000,116,7,43.10344827586207,1604.807202310175
0.1,5000,115,7,43.47826086956522,1632.7302187415607
0.1,5000,114,7,43.85964912280702,1661.390317900013
0.1,5000,113,7,44.24778761061947,1690.8136894040254
0.1,5000,112,7,44.642857142857146,1721.0276967930029
0.1,5000,111,7,45.04504504504504,1752.0609412501306
0.1,5000,110,7,45.45454545454545,1783.943329397875
0.1,5000,109,7,45.87155963302752,1816.7061454663508
0.1,5000,108,7,46.2962962962963,1850.382128159906
0.1,5000,107,7,46.728971962616825,1885.0055525747725
0.1,5000,106,7,47.16981132075472,1920.6123175507298
0.1,5000,105,7,47.61904761904762,1957.240038872692
0.1,5000,104,7,48.07692307692308,1994.9281487743026
0.1,5000,103,7,48.54368932038835,2033.7180022352989
0.1,5000,102,7,49.01960784313726,2073.6529906080077
0.1,5000,101,7,49.504950495049506,2114.778663156273
0.1,5000,100,7,50.0,2157.142857142857
0.1,5000,99,7,50.505050505050505,2200.7958371594736
0.1,5000,98,7,51.02040816326531,2245.7904444576666
0.1,5000,97,7,51.54639175257732,2292.1822571094544
0.1,5000,96,7,52.083333333333336,2340.029761904762
0.1,5000,95,7,52.63157894736842,2389.3945389790265
0.1,5000,94,7,53.191489361702125,2440.3414602599755
0.1,5000,93,7,53.763440860215056,2492.938902928497
0.1,5000,92,8,54.34782608695652,2228.8516068052927
0.1,5000,91,8,54.94505494505494,2277.955560922594
0.1,5000,90,8,55.55555555555556,2328.7037037037035
0.1,5000,89,8,56.17977528089887,2381.1703067794474
0.1,5000,88,8,56.81818181818182,2435.4338842975208
0.1,5000,87,8,57.47126436781609,2491.5774871185095
0.1,5000,86,8,58.13953488372093,2549.6890210924826
0.1,5000,85,8,58.8235294117647,2609.8615916955014
0.1,5000,84,8,59.523809523809526,2672.1938775510203
0.1,5000,83,8,60.24096385542169,2736.7905356365222
0.1,5000,82,8,60.97560975609756,2803.762641284949
0.1,5000,81,8,61.72839506172839,2873.2281664380425
0.1,5000,80,8,62.5,2945.3125
0.1,5000,79,8,63.29113924050633,3020.1490145809967
0.1,5000,78,8,64.1025641025641,3097.879684418146
0.1,5000,77,8,64.93506493506493,3178.6557598245913
0.1,5000,76,8,65.78947368421052,3262.6385041551243
0.1,5000,75,8,66.66666666666667,3350.0
0.1,5000,74,8,67.56756756756756,3440.9240321402485
0.1,5000,73,8,68.4931506849315,3535.607055732783
0.1,5000,72,8,69.44444444444444,3634.2592592592596
0.1,5000,71,8,70.4225352112676,3737.105732989486
0.1,5000,70,9,71.42857142857143,3417.233560090703
0.1,5000,69,9,72.46376811594203,3516.7681859553313
0.1,5000,68,9,73.52941176470588,3620.7227989234907
0.1,5000,67,9,74.6268656716418,3729.363134575877
0.1,5000,66,9,75.75757575757575,3842.9752066115702
0.1,5000,65,9,76.92307692307692,3961.8671926364236
0.1,5000,64,9,78.125,4086.371527777778
0.1,5000,63,9,79.36507936507937,4216.847232720249
0.1,5000,62,9,80.64516129032258,4353.682506648167
0.1,5000,61,9,81.9672131147541,4497.297620114067
0.1,5000,60,9,83.33333333333333,4648.148148148148
0.1,5000,59,9,84.7457627118644,4806.728590124166
0.1,5000,58,9,86.20689655172414,4973.576430175716
0.1,5000,57,9,87.71929824561404,5149.276700523238
0.1,5000,56,9,89.28571428571429,5334.467120181405
0.1,5000,55,9,90.9090909090909,5529.843893480257
0.1,5000,54,9,92.5925925925926,5736.168267032464
0.1,5000,53,10,94.33962264150944,5358.846564613742
0.1,5000,52,10,96.15384615384616,5566.568047337279
0.1,5000,51,10,98.03921568627452,5786.620530565167
0.1,5000,50,10,100.0,6020.0
0.1,5000,49,10,102.04081632653062,6267.80508121616
0.1,5000,48,10,104.16666666666667,6531.25
0.1,5000,47,10,106.38297872340425,6811.67949298325
0.1,5000,46,10,108.69565217391305,7110.586011342155
0.1,5000,45,10,111.11111111111111,7429.6296296296305
0.1,5000,44,10,113.63636363636364,7770.661157024793
0.1,5000,43,10,116.27906976744185,8135.749053542456
0.1,5000,42,10,119.04761904761905,8527.21088435374
0.1,5000,41,10,121.95121951219512,8947.6502082094
0.1,5000,40,10,125.0,9400.0
0.1,5000,39,11,128.2051282051282,8988.70360408822
0.1,5000,38,11,131.57894736842104,9467.388567111559
0.1,5000,37,11,135.13513513513513,9985.390796201607
0.1,5000,36,11,138.88888888888889,10547.138047138047
0.1,5000,35,11,142.85714285714286,11157.69944341373
0.1,5000,34,11,147.05882352941177,11822.900283107894
0.1,5000,33,11,151.5151515151515,12549.46155772602
0.1,5000,32,11,156.25,13345.170454545454
0.1,5000,31,11,161.29032258064515,14219.089963106613
0.1,5000,30,11,166.66666666666666,15181.818181818182
0.1,5000,29,11,172.41379310344828,16245.811263647174
0.1,5000,28,11,178.57142857142858,17425.78849721707
0.1,5000,27,12,185.1851851851852,17177.640603566528
0.1,5000,26,12,192.30769230769232,18523.175542406312
