k,epsilon,N,k2,k1,data_duplication,store_complexity
16,0.1,2500,25,6,6.25,658.3333333333334
16,0.1,2500,24,6,6.510416666666667,712.890625
16,0.1,2500,23,6,6.793478260869565,774.653434152489
16,0.1,2500,22,6,7.1022727272727275,844.9552341597796
16,0.1,2500,21,6,7.440476190476191,925.453514739229
16,0.1,2500,20,6,7.8125,1018.2291666666666
16,0.1,2500,19,6,8.223684210526315,1125.9233610341644
16,0.1,2500,18,6,8.680555555555555,1251.929012345679
16,0.1,2500,17,6,9.191176470588236,1400.6632064590542
16,0.1,2500,16,6,9.765625,1577.9622395833333
16,0.1,2500,15,6,10.416666666666666,1791.6666666666667
16,0.1,2500,14,6,11.160714285714286,2052.5085034013605
16,0.1,2500,13,6,12.01923076923077,2375.493096646943
16,0.1,2500,12,6,13.020833333333334,2782.1180555555557
16,0.1,2500,11,6,14.204545454545455,3304.0633608815424
16,0.1,2500,10,7,15.625,3419.6428571428573
16,0.1,2500,9,7,17.36111111111111,4212.9629629629635
16,0.1,2500,8,7,19.53125,5320.870535714286
16,0.1,2500,7,7,22.321428571428573,6935.131195335277
16,0.1,2500,6,7,26.041666666666668,9419.642857142857
16,0.1,2500,5,7,31.25,13535.714285714286
16,0.1,2500,4,7,39.0625,21104.910714285714
16,0.1,2500,3,7,52.083333333333336,37440.47619047619
16,0.1,2500,2,7,78.125,84062.5
16,0.1,2500,1,7,156.25,335535.7142857143
