k,epsilon,N,k2,k1,data_duplication,store_complexity
16,0.1,10000,100,14,6.25,282.1428571428571
16,0.1,10000,99,15,6.313131313131313,268.54402611978367
16,0.1,10000,98,15,6.377551020408164,273.9136470914896
16,0.1,10000,97,15,6.443298969072165,279.44875473837106
16,0.1,10000,96,15,6.510416666666667,285.15625
16,0.1,10000,95,15,6.578947368421052,291.04339796860575
16,0.1,10000,94,15,6.648936170212766,297.11785121472764
16,0.1,10000,93,15,6.720430107526882,303.38767487570817
16,0.1,10000,92,15,6.793478260869565,309.8613736609956
16,0.1,10000,91,15,6.868131868131868,316.54792094352536
16,0.1,10000,90,16,6.944444444444445,303.24074074074076
16,0.1,10000,89,16,7.022471910112359,309.9356141901275
16,0.1,10000,88,16,7.1022727272727275,316.85821280991735
16,0.1,10000,87,16,7.183908045977011,324.01902497027345
16,0.1,10000,86,16,7.267441860465116,331.42915089237425
16,0.1,10000,85,16,7.352941176470588,339.1003460207612
16,0.1,10000,84,16,7.440476190476191,347.0450680272109
16,0.1,10000,83,16,7.530120481927711,355.2765277979388
16,0.1,10000,82,16,7.621951219512195,363.808744794765
16,0.1,10000,81,16,7.716049382716049,372.65660722450843
16,0.1,10000,80,16,7.8125,381.8359375
16,0.1,10000,79,16,7.9113924050632916,391.36356353148534
16,0.1,10000,78,17,8.012820512820513,377.65402018795686
16,0.1,10000,77,17,8.116883116883116,387.3284851130535
16,0.1,10000,76,17,8.223684210526315,397.38471565911686
16,0.1,10000,75,17,8.333333333333334,407.843137254902
16,0.1,10000,74,17,8.445945945945946,418.7255618098225
16,0.1,10000,73,17,8.561643835616438,430.0553022860486
16,0.1,10000,72,17,8.680555555555555,441.85729847494554
16,0.1,10000,71,17,8.80281690140845,454.1582552481417
16,0.1,10000,70,17,8.928571428571429,466.98679471788716
16,0.1,10000,69,17,9.057971014492754,480.3736239297231
16,0.1,10000,68,18,9.191176470588236,466.8877354863514
16,0.1,10000,67,18,9.328358208955224,480.68117125813717
16,0.1,10000,66,18,9.469696969696969,495.10254055708606
16,0.1,10000,65,18,9.615384615384615,510.1906640368179
16,0.1,10000,64,18,9.765625,525.9874131944445
16,0.1,10000,63,18,9.920634920634921,542.5380028554632
16,0.1,10000,62,18,10.080645161290322,559.8913169152503
16,0.1,10000,61,18,10.245901639344263,578.1002717310162
16,0.1,10000,60,18,10.416666666666666,597.2222222222222
16,0.1,10000,59,19,10.59322033898305,584.8289209089947
16,0.1,10000,58,19,10.775862068965518,604.8563739908631
16,0.1,10000,57,19,10.964912280701755,625.9415852651018
16,0.1,10000,56,19,11.160714285714286,648.1605800214822
16,0.1,10000,55,19,11.363636363636363,671.5963462374946
16,0.1,10000,54,19,11.574074074074074,696.3396144682695
16,0.1,10000,53,19,11.79245283018868,722.4897416199809
16,0.1,10000,52,19,12.01923076923077,750.1557147306135
16,0.1,10000,51,20,12.254901960784315,740.4844290657439
16,0.1,10000,50,20,12.5,770.0
16,0.1,10000,49,20,12.755102040816327,801.3327780091629
16,0.1,10000,48,20,13.020833333333334,834.6354166666667
16,0.1,10000,47,20,13.297872340425531,870.0769578995021
16,0.1,10000,46,20,13.58695652173913,907.8449905482041
16,0.1,10000,45,20,13.88888888888889,948.1481481481482
16,0.1,10000,44,20,14.204545454545455,991.2190082644628
16,0.1,10000,43,21,14.534883720930232,987.9213989543897
16,0.1,10000,42,21,14.880952380952381,1034.9854227405249
16,0.1,10000,41,21,15.24390243902439,1085.5216566102943
16,0.1,10000,40,21,15.625,1139.8809523809525
16,0.1,10000,39,21,16.025641025641026,1198.4596599981217
16,0.1,10000,38,21,16.44736842105263,1261.7068988260123
16,0.1,10000,37,22,16.89189189189189,1269.6726210239724
16,0.1,10000,36,22,17.36111111111111,1340.4882154882155
16,0.1,10000,35,22,17.857142857142858,1417.439703153989
16,0.1,10000,34,22,18.38235294117647,1501.2582573136206
16,0.1,10000,33,22,18.939393939393938,1592.7873779113447
16,0.1,10000,32,22,19.53125,1693.0042613636365
16,0.1,10000,31,22,20.161290322580644,1803.0460694352473
16,0.1,10000,30,23,20.833333333333332,1840.5797101449275
16,0.1,10000,29,23,21.551724137931036,1968.6708369952955
16,0.1,10000,28,23,22.321428571428573,2110.6921029281275
