epsilon,N,k2,k1,data_duplication,store_complexity
0.1,2500,72,4,34.72222222222222,1825.8101851851852
0.1,2500,71,4,35.2112676056338,1877.3556833961516
0.1,2500,70,4,35.714285714285715,1931.1224489795918
0.1,2500,69,4,36.231884057971016,1987.2400756143668
0.1,2500,68,4,36.76470588235294,2045.847750865052
0.1,2500,67,4,37.3134328358209,2107.095121407886
0.1,2500,66,4,37.878787878787875,2171.1432506887054
0.1,2500,65,4,38.46153846153846,2238.1656804733725
0.1,2500,64,4,39.0625,2308.349609375
0.1,2500,63,4,39.682539682539684,2381.8972033257746
0.1,2500,62,4,40.32258064516129,2459.0270551508843
0.1,2500,61,4,40.98360655737705,2539.975812953507
0.1,2500,60,4,41.666666666666664,2625.0
0.1,2500,59,4,42.3728813559322,2714.3780522838265
0.1,2500,58,4,43.10344827586207,2808.4126040428064
0.1,2500,57,4,43.85964912280702,2907.4330563250232
0.1,2500,56,4,44.642857142857146,3011.798469387755
0.1,2500,55,5,45.45454545454545,2497.5206611570247
0.1,2500,54,5,46.2962962962963,2590.5349794238687
0.1,2500,53,5,47.16981132075472,2688.857244571022
0.1,2500,52,5,48.07692307692308,2792.8994082840236
0.1,2500,51,5,49.01960784313726,2903.114186851211
0.1,2500,50,5,50.0,3020.0
0.1,2500,49,5,51.02040816326531,3144.106622240733
0.1,2500,48,5,52.083333333333336,3276.041666666667
0.1,2500,47,5,53.191489361702125,3416.4780443639656
0.1,2500,46,5,54.34782608695652,3566.1625708884685
0.1,2500,45,5,55.55555555555556,3725.925925925926
0.1,2500,44,5,56.81818181818182,3896.6942148760327
0.1,2500,43,5,58.13953488372093,4079.502433747972
0.1,2500,42,5,59.523809523809526,4275.510204081633
0.1,2500,41,5,60.97560975609756,4486.020226055919
0.1,2500,40,5,62.5,4712.5
0.1,2500,39,5,64.1025641025641,4956.607495069034
0.1,2500,38,5,65.78947368421052,5220.2216066482
0.1,2500,37,5,67.56756756756756,5505.478451424397
0.1,2500,36,5,69.44444444444444,5814.814814814815
0.1,2500,35,5,71.42857142857143,6151.0204081632655
0.1,2500,34,5,73.52941176470588,6517.301038062284
0.1,2500,33,5,75.75757575757575,6917.355371900826
0.1,2500,32,5,78.125,7355.46875
0.1,2500,31,5,80.64516129032258,7836.628511966701
0.1,2500,30,5,83.33333333333333,8366.666666666668
0.1,2500,29,6,86.20689655172414,7460.364645263575
0.1,2500,28,6,89.28571428571429,8001.700680272109
0.1,2500,27,6,92.5925925925926,8604.252400548696
0.1,2500,26,6,96.15384615384616,9277.613412228797
0.1,2500,25,6,100.0,10033.333333333334
0.1,2500,24,6,104.16666666666667,10885.416666666668
0.1,2500,23,6,108.69565217391305,11850.97668557026
0.1,2500,22,6,113.63636363636364,12951.101928374655
0.1,2500,21,6,119.04761904761905,14212.01814058957
0.1,2500,20,6,125.0,15666.666666666666
0.1,2500,19,6,131.57894736842104,17356.879039704523
0.1,2500,18,6,138.88888888888889,19336.41975308642
0.1,2500,17,6,147.05882352941177,21675.317185697808
0.1,2500,16,6,156.25,24466.145833333332
0.1,2500,15,6,166.66666666666666,27833.333333333332
0.1,2500,14,6,178.57142857142858,31947.278911564626
0.1,2500,13,6,192.30769230769232,37046.351084812624
0.1,2500,12,6,208.33333333333334,43472.222222222226
0.1,2500,11,6,227.27272727272728,51728.650137741046
0.1,2500,10,7,250.0,53642.857142857145
0.1,2500,9,7,277.77777777777777,66216.93121693122
0.1,2500,8,7,312.5,83794.64285714286
0.1,2500,7,7,357.14285714285717,109431.48688046646
0.1,2500,6,7,416.6666666666667,148928.57142857145
0.1,2500,5,7,500.0,214428.57142857142
0.1,2500,4,7,625.0,335000.0
0.1,2500,3,7,833.3333333333334,595476.1904761905
0.1,2500,2,7,1250.0,1339642.8571428573
0.1,2500,1,7,2500.0,5357857.142857143
