k,epsilon,N,k2,k1,data_duplication,store_complexity
16,0.1,5000,50,10,6.25,395.0
16,0.1,5000,49,10,6.377551020408164,410.8704706372345
16,0.1,5000,48,10,6.510416666666667,427.734375
16,0.1,5000,47,10,6.648936170212766,445.6767768220914
16,0.1,5000,46,10,6.793478260869565,464.7920604914934
16,0.1,5000,45,10,6.944444444444445,485.1851851851852
16,0.1,5000,44,10,7.1022727272727275,506.97314049586777
16,0.1,5000,43,10,7.267441860465116,530.2866414277988
16,0.1,5000,42,10,7.440476190476191,555.2721088435375
16,0.1,5000,41,10,7.621951219512195,582.093991671624
16,0.1,5000,40,10,7.8125,610.9375
16,0.1,5000,39,11,8.012820512820513,583.6471221086606
16,0.1,5000,38,11,8.223684210526315,614.1400151095442
16,0.1,5000,37,11,8.445945945945946,647.1213227969985
16,0.1,5000,36,11,8.680555555555555,682.8703703703704
16,0.1,5000,35,11,8.928571428571429,721.7068645640074
16,0.1,5000,34,11,9.191176470588236,763.9981126140295
16,0.1,5000,33,11,9.469696969696969,810.167793638868
16,0.1,5000,32,11,9.765625,860.7066761363636
16,0.1,5000,31,11,10.080645161290322,916.1857913158642
16,0.1,5000,30,11,10.416666666666666,977.2727272727273
16,0.1,5000,29,11,10.775862068965518,1044.7519187114906
16,0.1,5000,28,11,11.160714285714286,1119.5500927643784
16,0.1,5000,27,12,11.574074074074074,1102.5377229080932
16,0.1,5000,26,12,12.01923076923077,1187.7465483234714
16,0.1,5000,25,12,12.5,1283.3333333333333
16,0.1,5000,24,12,13.020833333333334,1391.0590277777778
16,0.1,5000,23,12,13.58695652173913,1513.074984247007
16,0.1,5000,22,12,14.204545454545455,1652.0316804407712
16,0.1,5000,21,12,14.880952380952381,1811.2244897959185
16,0.1,5000,20,12,15.625,1994.7916666666667
16,0.1,5000,19,12,16.44736842105263,2207.987072945522
16,0.1,5000,18,12,17.36111111111111,2457.5617283950614
16,0.1,5000,17,13,18.38235294117647,2540.590896992281
16,0.1,5000,16,13,19.53125,2865.0841346153843
16,0.1,5000,15,13,20.833333333333332,3256.4102564102564
16,0.1,5000,14,13,22.321428571428573,3734.3014128728414
16,0.1,5000,13,13,24.03846153846154,4326.354119253528
16,0.1,5000,12,13,26.041666666666668,5072.115384615385
16,0.1,5000,11,13,28.40909090909091,6029.879211697394
16,0.1,5000,10,13,31.25,7288.461538461539
16,0.1,5000,9,13,34.72222222222222,8988.603988603989
16,0.1,5000,8,14,39.0625,10552.455357142857
16,0.1,5000,7,14,44.642857142857146,13768.221574344023
16,0.1,5000,6,14,52.083333333333336,18720.238095238095
16,0.1,5000,5,14,62.5,26928.571428571428
16,0.1,5000,4,14,78.125,42031.25
16,0.1,5000,3,14,104.16666666666667,74642.85714285714
16,0.1,5000,2,14,156.25,167767.85714285716
16,0.1,5000,1,14,312.5,670357.1428571428
