k,epsilon,N,k2,k1,data_duplication,store_complexity
16,0.05,2500,25,3,6.25,1316.6666666666667
16,0.05,2500,24,3,6.510416666666667,1425.78125
16,0.05,2500,23,3,6.793478260869565,1549.306868304978
16,0.05,2500,22,3,7.1022727272727275,1689.9104683195592
16,0.05,2500,21,3,7.440476190476191,1850.907029478458
16,0.05,2500,20,3,7.8125,2036.4583333333333
16,0.05,2500,19,3,8.223684210526315,2251.8467220683287
16,0.05,2500,18,3,8.680555555555555,2503.858024691358
16,0.05,2500,17,3,9.191176470588236,2801.3264129181084
16,0.05,2500,16,3,9.765625,3155.9244791666665
16,0.05,2500,15,3,10.416666666666666,3583.3333333333335
16,0.05,2500,14,3,11.160714285714286,4105.017006802721
16,0.05,2500,13,3,12.01923076923077,4750.986193293886
16,0.05,2500,12,3,13.020833333333334,5564.236111111111
16,0.05,2500,11,3,14.204545454545455,6608.126721763085
16,0.05,2500,10,3,15.625,7979.166666666667
16,0.05,2500,9,3,17.36111111111111,9830.246913580246
16,0.05,2500,8,3,19.53125,12415.364583333334
16,0.05,2500,7,3,22.321428571428573,16181.972789115647
16,0.05,2500,6,3,26.041666666666668,21979.166666666668
16,0.05,2500,5,3,31.25,31583.333333333332
16,0.05,2500,4,3,39.0625,49244.791666666664
16,0.05,2500,3,3,52.083333333333336,87361.11111111112
16,0.05,2500,2,3,78.125,196145.83333333334
16,0.05,2500,1,3,156.25,782916.6666666666
