epsilon,N,k2,k1,data_duplication,store_complexity
0.1,10000,277,8,36.101083032490976,986.4914178472285
0.1,10000,276,8,36.231884057971016,993.6200378071834
0.1,10000,275,8,36.36363636363637,1000.8264462809917
0.1,10000,274,8,36.496350364963504,1008.1117800628696
0.1,10000,273,8,36.63003663003663,1015.4771967958781
0.1,10000,272,8,36.76470588235294,1022.923875432526
0.1,10000,271,8,36.90036900369004,1030.4530167072887
0.1,10000,270,8,37.03703703703704,1038.0658436213994
0.1,10000,269,8,37.174721189591075,1045.7636019402717
0.1,10000,268,8,37.3134328358209,1053.547560703943
0.1,10000,267,8,37.453183520599254,1061.4190127509153
0.1,10000,266,8,37.59398496240601,1069.3792752558088
0.1,10000,265,8,37.735849056603776,1077.429690281239
0.1,10000,264,8,37.878787878787875,1085.5716253443527
0.1,10000,263,8,38.02281368821293,1093.8064739984677
0.1,10000,262,8,38.16793893129771,1102.135656430278
0.1,10000,261,8,38.31417624521073,1110.5606200731052
0.1,10000,260,8,38.46153846153846,1119.0828402366863
0.1,10000,259,8,38.61003861003861,1127.7038207540138
0.1,10000,258,8,38.75968992248062,1136.4250946457546
0.1,10000,257,8,38.91050583657587,1145.248224802798
0.1,10000,256,8,39.0625,1154.1748046875
0.1,10000,255,8,39.21568627450981,1163.20645905421
0.1,10000,254,8,39.37007874015748,1172.3448446896894
0.1,10000,253,8,39.52569169960474,1181.5916511740536
0.1,10000,252,8,39.682539682539684,1190.9486016628873
0.1,10000,251,8,39.8406374501992,1200.4174536912112
0.1,10000,250,8,40.0,1210.0
0.1,10000,249,8,40.16064257028113,1219.6980693859778
0.1,10000,248,8,40.32258064516129,1229.5135275754421
0.1,10000,247,8,40.48582995951417,1239.4482781228999
0.1,10000,246,8,40.65040650406504,1249.5042633353164
0.1,10000,245,8,40.816326530612244,1259.6834652228238
0.1,10000,244,8,40.98360655737705,1269.9879064767536
0.1,10000,243,8,41.1522633744856,1280.4196514758928
0.1,10000,242,8,41.32231404958678,1290.9808073219042
0.1,10000,241,9,41.49377593360996,1157.0431332487772
0.1,10000,240,9,41.666666666666664,1166.6666666666667
0.1,10000,239,9,41.84100418410042,1176.4110883524058
0.1,10000,238,9,42.016806722689076,1186.278432941804
0.1,10000,237,9,42.19409282700422,1196.2707780685669
0.1,10000,236,9,42.3728813559322,1206.3902454594784
0.1,10000,235,9,42.5531914893617,1216.6390020622705
0.1,10000,234,9,42.73504273504273,1227.0192612072954
0.1,10000,233,9,42.918454935622314,1237.5332838041675
0.1,10000,232,9,43.10344827586207,1248.1833795745804
0.1,10000,231,9,43.29004329004329,1258.9719083225575
0.1,10000,230,9,43.47826086956522,1269.9012812434364
0.1,10000,229,9,43.66812227074236,1280.9739622729458
0.1,10000,228,9,43.85964912280702,1292.192469477788
0.1,10000,227,9,44.052863436123346,1303.559376489183
0.1,10000,226,9,44.24778761061947,1315.0773139809087
0.1,10000,225,9,44.44444444444444,1326.7489711934156
0.1,10000,224,9,44.642857142857146,1338.577097505669
0.1,10000,223,9,44.84304932735426,1350.5645040564302
0.1,10000,222,9,45.04504504504504,1362.714065416768
0.1,10000,221,9,45.248868778280546,1375.0287213156525
0.1,10000,220,9,45.45454545454545,1387.5114784205693
0.1,10000,219,9,45.662100456621005,1400.16541217517
0.1,10000,218,9,45.87155963302752,1412.9936686960505
0.1,10000,217,9,46.08294930875576,1425.9994667308479
0.1,10000,216,9,46.2962962962963,1439.1860996799267
0.1,10000,215,9,46.51162790697674,1452.5569376840333
0.1,10000,214,9,46.728971962616825,1466.1154297803787
0.1,10000,213,9,46.948356807511736,1479.8651061297362
0.1,10000,212,9,47.16981132075472,1493.8095803172341
0.1,10000,211,9,47.39336492890995,1507.9525517296456
0.1,10000,210,9,47.61904761904762,1522.2978080120936
0.1,10000,209,9,47.84688995215311,1536.8492276072232
0.1,10000,208,9,48.07692307692308,1551.6107823800132
0.1,10000,207,10,48.309178743961354,1409.9278862983967
0.1,10000,206,10,48.54368932038835,1423.6026015647092
0.1,10000,205,10,48.78048780487805,1437.4776918500893
0.1,10000,204,10,49.01960784313726,1451.5570934256054
0.1,10000,203,10,49.26108374384236,1465.8448397194788
0.1,10000,202,10,49.504950495049506,1480.3450642093912
0.1,10000,201,10,49.75124378109453,1495.0620034157569
0.1,10000,200,10,50.0,1510.0
0.1,10000,199,10,50.25125628140704,1525.1635059720713
0.1,10000,198,10,50.505050505050505,1540.5570860116316
0.1,10000,197,10,50.76142131979695,1556.1854209075216
0.1,10000,196,10,51.02040816326531,1572.0533111203665
0.1,10000,195,10,51.282051282051285,1588.1656804733727
0.1,10000,194,10,51.54639175257732,1604.5275799766182
0.1,10000,193,10,51.81347150259067,1621.1441917903835
0.1,10000,192,10,52.083333333333336,1638.0208333333335
0.1,10000,191,10,52.35602094240838,1655.1629615416243
0.1,10000,190,10,52.63157894736842,1672.5761772853186
0.1,10000,189,10,52.91005291005291,1690.2662299487695
0.1,10000,188,10,53.191489361702125,1708.2390221819828
