k,epsilon,N,k2,k1,data_duplication,store_complexity
8,0.05,100000,1109,19,11.27141568981064,330.447032124075
8,0.05,100000,1108,19,11.28158844765343,331.0352018141771
8,0.05,100000,1107,19,11.291779584462512,331.6249584309184
8,0.05,100000,1106,19,11.301989150090415,332.2163077022104
8,0.05,100000,1105,19,11.312217194570136,332.8092553818567
8,0.05,100000,1104,19,11.322463768115941,333.4038072496932
8,0.05,100000,1103,19,11.332728921124207,333.99996911172997
8,0.05,100000,1102,19,11.343012704174228,334.5977468002931
8,0.05,100000,1101,19,11.353315168029065,335.1971461741689
8,0.05,100000,1100,19,11.363636363636363,335.7981731187473
8,0.05,100000,1099,19,11.373976342129207,336.4008335461675
8,0.05,100000,1098,19,11.384335154826958,337.00513339546427
8,0.05,100000,1097,19,11.394712853236099,337.61107863271405
8,0.05,100000,1096,19,11.405109489051094,338.2186752511841
8,0.05,100000,1095,19,11.415525114155251,338.82792927148046
8,0.05,100000,1094,19,11.425959780621572,339.4388467416984
8,0.05,100000,1093,19,11.436413540713632,340.05143373757306
8,0.05,100000,1092,19,11.446886446886447,340.665696362631
8,0.05,100000,1091,19,11.45737855178735,341.2816407483434
8,0.05,100000,1090,19,11.46788990825688,341.8992730542795
8,0.05,100000,1089,20,11.47842056932966,325.3926694948483
8,0.05,100000,1088,20,11.488970588235293,325.9826448961938
8,0.05,100000,1087,20,11.499540018399264,326.57424153815816
8,0.05,100000,1086,20,11.51012891344383,327.16746538058464
8,0.05,100000,1085,20,11.52073732718894,327.7623224107541
8,0.05,100000,1084,20,11.531365313653136,328.358818643537
8,0.05,100000,1083,20,11.54201292705448,328.956960121546
8,0.05,100000,1082,20,11.55268022181146,329.55675291529
8,0.05,100000,1081,20,11.56336725254394,330.1582031233286
8,0.05,100000,1080,20,11.574074074074074,330.761316872428
8,0.05,100000,1079,20,11.584800741427248,331.3661003177177
8,0.05,100000,1078,20,11.595547309833025,331.9725596428485
8,0.05,100000,1077,20,11.606313834726091,332.5807010601511
8,0.05,100000,1076,20,11.617100371747211,333.19053081079585
8,0.05,100000,1075,20,11.627906976744185,333.802055164954
8,0.05,100000,1074,20,11.638733705772811,334.4152804219593
8,0.05,100000,1073,20,11.649580615097857,335.0302129104713
8,0.05,100000,1072,20,11.66044776119403,335.64685898863894
8,0.05,100000,1071,20,11.671335200746965,336.2652250442661
8,0.05,100000,1070,20,11.682242990654206,336.88531749497776
8,0.05,100000,1069,20,11.693171188026193,337.50714278838706
8,0.05,100000,1068,20,11.704119850187267,338.130707402264
8,0.05,100000,1067,20,11.715089034676664,338.75601784470473
8,0.05,100000,1066,20,11.726078799249532,339.383080654302
8,0.05,100000,1065,20,11.737089201877934,340.0119024003174
8,0.05,100000,1064,20,11.74812030075188,340.64248968285375
8,0.05,100000,1063,20,11.75917215428034,341.2748491330293
8,0.05,100000,1062,20,11.770244821092279,341.9089874131529
8,0.05,100000,1061,20,11.7813383600377,342.5449112169001
8,0.05,100000,1060,20,11.79245283018868,343.1826272694909
8,0.05,100000,1059,20,11.803588290840416,343.8221423278682
8,0.05,100000,1058,20,11.814744801512287,344.46346318087774
8,0.05,100000,1057,20,11.825922421948912,345.1065966494488
8,0.05,100000,1056,20,11.837121212121213,345.75154958677683
8,0.05,100000,1055,20,11.848341232227488,346.3983288785068
8,0.05,100000,1054,20,11.859582542694497,347.0469414429174
8,0.05,100000,1053,20,11.870845204178538,347.69739423110747
8,0.05,100000,1052,20,11.88212927756654,348.3496942271827
8,0.05,100000,1051,20,11.893434823977165,349.0038484484443
8,0.05,100000,1050,20,11.904761904761905,349.65986394557825
8,0.05,100000,1049,20,11.916110581506196,350.31774780284644
8,0.05,100000,1048,20,11.927480916030534,350.9775071382786
8,0.05,100000,1047,20,11.938872970391595,351.63914910386615
8,0.05,100000,1046,20,11.950286806883366,352.30268088575616
8,0.05,100000,1045,20,11.961722488038278,352.9681097044481
8,0.05,100000,1044,20,11.973180076628353,353.635442814991
8,0.05,100000,1043,20,11.984659635666347,354.3046875071816
8,0.05,100000,1042,20,11.99616122840691,354.9758511057651
8,0.05,100000,1041,20,12.007684918347742,355.64894097063615
8,0.05,100000,1040,20,12.01923076923077,356.32396449704146
8,0.05,100000,1039,20,12.03079884504331,357.0009291157838
8,0.05,100000,1038,20,12.042389210019268,357.6798422934278
8,0.05,100000,1037,20,12.054001928640309,358.3607115325065
8,0.05,100000,1036,20,12.065637065637066,359.0435443717297
8,0.05,100000,1035,20,12.077294685990339,359.7283483861934
8,0.05,100000,1034,20,12.088974854932301,360.415131187591
8,0.05,100000,1033,20,12.100677637947726,361.1039004244257
8,0.05,100000,1032,20,12.112403100775193,361.79466378222463
8,0.05,100000,1031,21,12.124151309408342,345.22612284167036
8,0.05,100000,1030,21,12.135922330097088,345.8878131326053
8,0.05,100000,1029,21,12.147716229348882,346.55142475863437
8,0.05,100000,1028,21,12.15953307392996,347.2169651824151
8,0.05,100000,1027,21,12.171372930866601,347.8844419029054
8,0.05,100000,1026,21,12.183235867446394,348.5538624555758
8,0.05,100000,1025,21,12.195121951219512,349.22523441262285
8,0.05,100000,1024,21,12.20703125,349.8985653831845
8,0.05,100000,1023,21,12.218963831867057,350.57386301355655
8,0.05,100000,1022,21,12.230919765166341,351.2511349874105
8,0.05,100000,1021,21,12.242899118511264,351.9303890260136
8,0.05,100000,1020,21,12.254901960784315,352.61163288844955
8,0.05,100000,1019,21,12.26692836113837,353.2948743718408
8,0.05,100000,1018,21,12.278978388998036,353.98012131157367
8,0.05,100000,1017,21,12.291052114060964,354.6673815815226
8,0.05,100000,1016,21,12.303149606299213,355.3566630942786
8,0.05,100000,1015,21,12.31527093596059,356.04797380137717
8,0.05,100000,1014,21,12.32741617357002,356.74132169352924
8,0.05,100000,1013,21,12.339585389930898,357.43671480085266
8,0.05,100000,1012,21,12.351778656126482,358.134161193106
8,0.05,100000,1011,21,12.363996043521267,358.8336689799237
8,0.05,100000,1010,21,12.376237623762377,359.5352463110526
8,0.05,100000,1009,21,12.388503468780971,360.2389013765908
8,0.05,100000,1008,21,12.40079365079365,360.94464240722743
8,0.05,100000,1007,21,12.413108242303872,361.6524776744845
8,0.05,100000,1006,21,12.42544731610338,362.3624154909603
8,0.05,100000,1005,21,12.437810945273633,363.0744642105747
8,0.05,100000,1004,21,12.450199203187251,363.78863222881574
8,0.05,100000,1003,21,12.46261216350947,364.5049279829883
8,0.05,100000,1002,21,12.4750499001996,365.22335995246465
8,0.05,100000,1001,21,12.487512487512488,365.9439366589359
8,0.05,100000,1000,21,12.5,366.6666666666667
8,0.05,100000,999,21,12.512512512512513,367.3915585827498
8,0.05,100000,998,21,12.525050100200401,368.1186210573643
8,0.05,100000,997,21,12.537612838515546,368.84786278403436
8,0.05,100000,996,21,12.550200803212851,369.5792924998906
8,0.05,100000,995,21,12.56281407035176,370.3129189859323
8,0.05,100000,994,21,12.575452716297788,371.0487510672929
8,0.05,100000,993,21,12.58811681772407,371.786797613506
8,0.05,100000,992,21,12.600806451612904,372.5270675387741
8,0.05,100000,991,21,12.613521695257315,373.2695698022387
8,0.05,100000,990,21,12.626262626262626,374.0143134082528
8,0.05,100000,989,21,12.639029322548028,374.76130740665496
8,0.05,100000,988,21,12.651821862348179,375.51056089304547
8,0.05,100000,987,21,12.664640324214792,376.26208300906427
8,0.05,100000,986,21,12.677484787018255,377.0158829426714
8,0.05,100000,985,21,12.690355329949238,377.7719699284285
8,0.05,100000,984,21,12.703252032520325,378.53035324778335
8,0.05,100000,983,21,12.71617497456765,379.29104222935575
8,0.05,100000,982,21,12.729124236252545,380.05404624922545
8,0.05,100000,981,21,12.7420998980632,380.81937473122275
8,0.05,100000,980,21,12.755102040816327,381.5870371472204
8,0.05,100000,979,21,12.768130745658835,382.35704301742794
8,0.05,100000,978,21,12.781186094069529,383.1294019106884
8,0.05,100000,977,21,12.794268167860798,383.9041234447765
8,0.05,100000,976,22,12.807377049180328,367.19570741003156
8,0.05,100000,975,22,12.820512820512821,367.93975255513715
8,0.05,100000,974,22,12.833675564681725,368.6860807732422
8,0.05,100000,973,22,12.846865364850977,369.43470143467187
8,0.05,100000,972,22,12.860082304526749,370.1856239579148
8,0.05,100000,971,22,12.873326467559217,370.9388578099209
8,0.05,100000,970,22,12.88659793814433,371.694412506401
