epsilon,N,k2,k1,data_duplication,store_complexity
0.05,100000,2000,11,50.0,1372.7272727272727
0.05,100000,1999,11,50.02501250625313,1374.096480228836
0.05,100000,1998,11,50.050050050050054,1375.4677418341082
0.05,100000,1997,11,50.0751126690035,1376.8410616562162
0.05,100000,1996,11,50.100200400801604,1378.2164438185898
0.05,100000,1995,11,50.12531328320802,1379.5938924549926
0.05,100000,1994,11,50.150451354062184,1380.9734117095518
0.05,100000,1993,11,50.17561465127948,1382.3550057367918
0.05,100000,1992,11,50.200803212851405,1383.7386787016633
0.05,100000,1991,11,50.22601707684581,1385.1244347795755
0.05,100000,1990,11,50.25125628140704,1386.5122781564285
0.05,100000,1989,11,50.27652086475616,1387.9022130286437
0.05,100000,1988,11,50.30181086519115,1389.294243603196
0.05,100000,1987,11,50.327126321087064,1390.6883740976457
0.05,100000,1986,11,50.35246727089628,1392.0846087401706
0.05,100000,1985,11,50.377833753148614,1393.482951769598
0.05,100000,1984,11,50.403225806451616,1394.8834074354365
0.05,100000,1983,11,50.42864346949067,1396.2859799979094
0.05,100000,1982,11,50.45408678102926,1397.6906737279862
0.05,100000,1981,11,50.479555779909134,1399.097492907415
0.05,100000,1980,11,50.505050505050505,1400.506441828756
0.05,100000,1979,11,50.53057099545225,1401.917524795413
0.05,100000,1978,11,50.55611729019211,1403.3307461216689
0.05,100000,1977,11,50.58168942842691,1404.7461101327146
0.05,100000,1976,11,50.607287449392715,1406.1636211646864
0.05,100000,1975,11,50.63291139240506,1407.5832835646968
0.05,100000,1974,11,50.65856129685917,1409.0051016908676
0.05,100000,1973,11,50.68423720223011,1410.4290799123653
0.05,100000,1972,11,50.70993914807302,1411.8552226094328
0.05,100000,1971,11,50.73566717402334,1413.283534173424
0.05,100000,1970,11,50.76142131979695,1414.7140190068376
0.05,100000,1969,11,50.787201625190455,1416.1466815233516
0.05,100000,1968,11,50.8130081300813,1417.5815261478558
0.05,100000,1967,11,50.838840874428065,1419.0185573164872
0.05,100000,1966,11,50.8646998982706,1420.4577794766653
0.05,100000,1965,11,50.89058524173028,1421.8991970871232
0.05,100000,1964,11,50.91649694501018,1423.3428146179463
0.05,100000,1963,11,50.94243504839531,1424.7886365506038
0.05,100000,1962,11,50.9683995922528,1426.2366673779854
0.05,100000,1961,11,50.994390617032124,1427.6869116044354
0.05,100000,1960,11,51.02040816326531,1429.1393737457877
0.05,100000,1959,11,51.04645227156713,1430.5940583294016
0.05,100000,1958,11,51.07252298263534,1432.0509698941967
0.05,100000,1957,11,51.09862033725089,1433.5101129906877
0.05,100000,1956,11,51.124744376278116,1434.971492181022
0.05,100000,1955,11,51.150895140664964,1436.4351120390131
0.05,100000,1954,11,51.17707267144319,1437.9009771501776
0.05,100000,1953,11,51.20327700972862,1439.3690921117707
0.05,100000,1952,11,51.22950819672131,1440.8394615328236
0.05,100000,1951,11,51.255766273705795,1442.3120900341771
0.05,100000,1950,11,51.282051282051285,1443.7869822485206
0.05,100000,1949,11,51.3083632632119,1445.2641428204274
0.05,100000,1948,11,51.3347022587269,1446.7435764063907
0.05,100000,1947,11,51.36106831022085,1448.2252876748616
0.05,100000,1946,11,51.38746145940391,1449.7092813062854
0.05,100000,1945,11,51.41388174807198,1451.195561993138
0.05,100000,1944,11,51.440329218106996,1452.6841344399643
0.05,100000,1943,11,51.4668039114771,1454.1750033634144
0.05,100000,1942,11,51.49330587023687,1455.6681734922818
0.05,100000,1941,11,51.51983513652756,1457.1636495675396
