k,epsilon,N,k2,k1,data_duplication,store_complexity
8,0.1,5000,59,9,10.59322033898305,617.3194165150499
8,0.1,5000,58,9,10.775862068965518,638.4595058792443
8,0.1,5000,57,9,10.964912280701755,660.7161177798297
8,0.1,5000,56,9,11.160714285714286,684.1695011337869
8,0.1,5000,55,9,11.363636363636363,708.9072543617998
8,0.1,5000,54,9,11.574074074074074,735.0251486053954
8,0.1,5000,53,10,11.79245283018868,686.3652545389818
8,0.1,5000,52,10,12.01923076923077,712.6479289940829
8,0.1,5000,51,10,12.254901960784315,740.4844290657439
8,0.1,5000,50,10,12.5,770.0
8,0.1,5000,49,10,12.755102040816327,801.3327780091629
8,0.1,5000,48,10,13.020833333333334,834.6354166666667
8,0.1,5000,47,10,13.297872340425531,870.0769578995021
8,0.1,5000,46,10,13.58695652173913,907.8449905482041
8,0.1,5000,45,10,13.88888888888889,948.1481481481482
8,0.1,5000,44,10,14.204545454545455,991.2190082644628
8,0.1,5000,43,10,14.534883720930232,1037.3174689021093
8,0.1,5000,42,10,14.880952380952381,1086.734693877551
8,0.1,5000,41,10,15.24390243902439,1139.7977394408092
8,0.1,5000,40,10,15.625,1196.875
8,0.1,5000,39,11,16.025641025641026,1143.9842209072979
8,0.1,5000,38,11,16.44736842105263,1204.3565852430118
8,0.1,5000,37,11,16.89189189189189,1269.6726210239724
8,0.1,5000,36,11,17.36111111111111,1340.4882154882155
8,0.1,5000,35,11,17.857142857142858,1417.439703153989
8,0.1,5000,34,11,18.38235294117647,1501.2582573136206
8,0.1,5000,33,11,18.939393939393938,1592.7873779113447
8,0.1,5000,32,11,19.53125,1693.0042613636365
8,0.1,5000,31,11,20.161290322580644,1803.0460694352473
8,0.1,5000,30,11,20.833333333333332,1924.2424242424242
8,0.1,5000,29,11,21.551724137931036,2058.155875040536
8,0.1,5000,28,11,22.321428571428573,2206.632653061224
8,0.1,5000,27,12,23.14814814814815,2174.211248285322
8,0.1,5000,26,12,24.03846153846154,2343.441814595661
8,0.1,5000,25,12,25.0,2533.3333333333335
8,0.1,5000,24,12,26.041666666666668,2747.3958333333335
8,0.1,5000,23,12,27.17391304347826,2989.918084436043
8,0.1,5000,22,12,28.40909090909091,3266.184573002755
8,0.1,5000,21,12,29.761904761904763,3582.7664399092973
8,0.1,5000,20,12,31.25,3947.9166666666665
8,0.1,5000,19,12,32.89473684210526,4372.114496768237
8,0.1,5000,18,12,34.72222222222222,4868.827160493827
8,0.1,5000,17,13,36.76470588235294,5035.932925206282
8,0.1,5000,16,13,39.0625,5682.091346153846
8,0.1,5000,15,13,41.666666666666664,6461.538461538462
8,0.1,5000,14,13,44.642857142857146,7413.657770800628
8,0.1,5000,13,13,48.07692307692308,8593.53664087392
8,0.1,5000,12,13,52.083333333333336,10080.128205128205
8,0.1,5000,11,13,56.81818181818182,11989.828353464716
8,0.1,5000,10,13,62.5,14500.0
8,0.1,5000,9,13,69.44444444444444,17891.737891737892
8,0.1,5000,8,14,78.125,21015.625
8,0.1,5000,7,14,89.28571428571429,27434.402332361515
8,0.1,5000,6,14,104.16666666666667,37321.42857142857
8,0.1,5000,5,14,125.0,53714.28571428572
8,0.1,5000,4,14,156.25,83883.92857142858
8,0.1,5000,3,14,208.33333333333334,149047.61904761905
8,0.1,5000,2,14,312.5,335178.5714285714
8,0.1,5000,1,14,625.0,1340000.0
