k,epsilon,N,k2,k1,data_duplication,store_complexity
16,0.05,10000,100,9,6.25,438.8888888888889
16,0.05,10000,99,9,6.313131313131313,447.57337686630615
16,0.05,10000,98,9,6.377551020408164,456.5227451524828
16,0.05,10000,97,9,6.443298969072165,465.74792456395176
16,0.05,10000,96,9,6.510416666666667,475.2604166666667
16,0.05,10000,95,9,6.578947368421052,485.07232994767617
16,0.05,10000,94,9,6.648936170212766,495.1964186912127
16,0.05,10000,93,9,6.720430107526882,505.646124792847
16,0.05,10000,92,9,6.793478260869565,516.435622768326
16,0.05,10000,91,9,6.868131868131868,527.5798682392088
16,0.05,10000,90,9,6.944444444444445,539.0946502057614
16,0.05,10000,89,9,7.022471910112359,550.9966474491156
16,0.05,10000,88,9,7.1022727272727275,563.3034894398531
16,0.05,10000,87,10,7.183908045977011,518.4304399524376
16,0.05,10000,86,10,7.267441860465116,530.2866414277988
16,0.05,10000,85,10,7.352941176470588,542.560553633218
16,0.05,10000,84,10,7.440476190476191,555.2721088435375
16,0.05,10000,83,10,7.530120481927711,568.442444476702
16,0.05,10000,82,10,7.621951219512195,582.093991671624
16,0.05,10000,81,10,7.716049382716049,596.2505715592135
16,0.05,10000,80,10,7.8125,610.9375
16,0.05,10000,79,10,7.9113924050632916,626.1817016503766
16,0.05,10000,78,10,8.012820512820513,642.0118343195267
16,0.05,10000,77,10,8.116883116883116,658.4584246921909
16,0.05,10000,76,10,8.223684210526315,675.5540166204986
16,0.05,10000,75,10,8.333333333333334,693.3333333333333
16,0.05,10000,74,10,8.445945945945946,711.8334550766982
16,0.05,10000,73,10,8.561643835616438,731.0940138862826
16,0.05,10000,72,10,8.680555555555555,751.1574074074075
16,0.05,10000,71,10,8.80281690140845,772.0690339218409
16,0.05,10000,70,10,8.928571428571429,793.8775510204082
16,0.05,10000,69,10,9.057971014492754,816.6351606805292
16,0.05,10000,68,10,9.191176470588236,840.3979238754325
16,0.05,10000,67,10,9.328358208955224,865.2261082646469
16,0.05,10000,66,10,9.469696969696969,891.1845730027547
16,0.05,10000,65,10,9.615384615384615,918.3431952662721
16,0.05,10000,64,11,9.765625,860.7066761363636
16,0.05,10000,63,11,9.920634920634921,887.7894592180306
16,0.05,10000,62,11,10.080645161290322,916.1857913158642
16,0.05,10000,61,11,10.245901639344263,945.9822628325719
16,0.05,10000,60,11,10.416666666666666,977.2727272727273
16,0.05,10000,59,11,10.59322033898305,1010.1590452064454
16,0.05,10000,58,11,10.775862068965518,1044.7519187114906
16,0.05,10000,57,11,10.964912280701755,1081.1718290942667
16,0.05,10000,56,11,11.160714285714286,1119.5500927643784
16,0.05,10000,55,11,11.363636363636363,1160.030052592036
16,0.05,10000,54,11,11.574074074074074,1202.7684249906472
16,0.05,10000,53,11,11.79245283018868,1247.9368264345126
16,0.05,10000,52,11,12.01923076923077,1295.7235072619687
16,0.05,10000,51,11,12.254901960784315,1346.33532557408
16,0.05,10000,50,11,12.5,1400.0
16,0.05,10000,49,11,12.755102040816327,1456.968687289387
16,0.05,10000,48,11,13.020833333333334,1517.5189393939395
16,0.05,10000,47,11,13.297872340425531,1581.958105271822
16,0.05,10000,46,11,13.58695652173913,1650.6272555421895
16,0.05,10000,45,11,13.88888888888889,1723.905723905724
16,0.05,10000,44,12,14.204545454545455,1652.0316804407712
16,0.05,10000,43,12,14.534883720930232,1728.8624481701822
16,0.05,10000,42,12,14.880952380952381,1811.2244897959185
16,0.05,10000,41,12,15.24390243902439,1899.6628990680151
16,0.05,10000,40,12,15.625,1994.7916666666667
16,0.05,10000,39,12,16.025641025641026,2097.304404996713
16,0.05,10000,38,12,16.44736842105263,2207.987072945522
16,0.05,10000,37,12,16.89189189189189,2327.7331385439493
16,0.05,10000,36,12,17.36111111111111,2457.5617283950614
16,0.05,10000,35,12,17.857142857142858,2598.6394557823132
16,0.05,10000,34,12,18.38235294117647,2752.306805074971
16,0.05,10000,33,12,18.939393939393938,2920.1101928374655
16,0.05,10000,32,12,19.53125,3103.8411458333335
16,0.05,10000,31,12,20.161290322580644,3305.584460631287
16,0.05,10000,30,12,20.833333333333332,3527.777777777778
16,0.05,10000,29,12,21.551724137931036,3773.2857709076497
16,0.05,10000,28,13,22.321428571428573,3734.3014128728414
16,0.05,10000,27,13,23.14814814814815,4013.9284583729027
16,0.05,10000,26,13,24.03846153846154,4326.354119253528
16,0.05,10000,25,13,25.0,4676.923076923077
16,0.05,10000,24,13,26.041666666666668,5072.115384615385
16,0.05,10000,23,13,27.17391304347826,5519.84877126654
16,0.05,10000,22,13,28.40909090909091,6029.879211697394
16,0.05,10000,21,13,29.761904761904763,6614.338042909471
16,0.05,10000,20,13,31.25,7288.461538461539
16,0.05,10000,19,13,32.89473684210526,8071.595994033668
16,0.05,10000,18,13,34.72222222222222,8988.603988603989
16,0.05,10000,17,13,36.76470588235294,10071.865850412563
16,0.05,10000,16,13,39.0625,11364.182692307691
16,0.05,10000,15,13,41.666666666666664,12923.076923076924
16,0.05,10000,14,13,44.642857142857146,14827.315541601256
16,0.05,10000,13,14,48.07692307692308,15959.42519019442
16,0.05,10000,12,14,52.083333333333336,18720.238095238095
16,0.05,10000,11,14,56.81818181818182,22266.824085005905
16,0.05,10000,10,14,62.5,26928.571428571428
16,0.05,10000,9,14,69.44444444444444,33227.51322751323
16,0.05,10000,8,14,78.125,42031.25
16,0.05,10000,7,14,89.28571428571429,54868.80466472303
16,0.05,10000,6,14,104.16666666666667,74642.85714285714
16,0.05,10000,5,14,125.0,107428.57142857143
16,0.05,10000,4,14,156.25,167767.85714285716
16,0.05,10000,3,14,208.33333333333334,298095.2380952381
16,0.05,10000,2,14,312.5,670357.1428571428
16,0.05,10000,1,15,625.0,2501333.3333333335
