epsilon,N,k2,k1,data_duplication,store_complexity,get_complexity,join_complexity
0.1,5000,141,6,35.46099290780142,476079.33873212285,313.2387706855792,97342.04265379005
0.1,5000,140,6,35.714285714285715,482857.1428571429,315.4761904761905,97441.49659863945
0.1,5000,139,6,35.97122302158273,489781.4122802477,317.7458033573142,97542.9058192295
0.1,5000,138,6,36.231884057971016,496856.40271651617,320.0483091787439,97646.32430161731
0.1,5000,137,6,36.496350364963504,504086.525654004,322.38442822384434,97751.8079457261
0.1,5000,136,6,36.76470588235294,511476.3552479816,324.7549019607843,97859.41464821222
0.1,5000,135,6,37.03703703703704,519030.63557384553,327.16049382716045,97969.20438957476
0.1,5000,134,6,37.3134328358209,526754.2882601917,329.6019900497513,98081.23932575926
0.1,5000,133,6,37.59398496240601,534652.4205249967,332.08020050125316,98195.58388452334
0.1,5000,132,6,37.878787878787875,542730.3336394245,334.5959595959596,98312.30486685032
0.1,5000,131,6,38.16793893129771,550993.5318454636,337.1501272264631,98431.47155371675
0.1,5000,130,6,38.46153846153846,559447.731755424,339.7435897435898,98553.15581854043
0.1,5000,129,6,38.75968992248062,568098.8722632854,342.3772609819121,98677.4322456583
0.1,5000,128,6,39.0625,576953.125,345.05208333333337,98804.37825520833
0.1,5000,127,6,39.37007874015748,586016.905367144,347.7690288713911,98934.07423481513
0.1,5000,126,6,39.682539682539684,595296.8841857732,350.52910052910056,99066.60367850843
0.1,5000,125,6,40.0,604800.0,353.33333333333337,99202.05333333333
0.1,5000,124,6,40.32258064516129,614533.4720776968,356.18279569892474,99340.51335414499
0.1,5000,123,6,40.65040650406504,624504.8141538326,359.07859078590786,99482.07746711613
0.1,5000,122,6,40.98360655737705,634721.8489653319,362.0218579234973,99626.8431425244
0.1,5000,121,6,41.32231404958678,645192.723629989,365.0137741046832,99774.91177742867
0.1,5000,120,7,41.666666666666664,562222.2222222222,315.4761904761905,88021.62698412698
0.1,5000,119,7,42.016806722689076,571654.5441706093,318.12725090036014,88176.62241367136
0.1,5000,118,7,42.3728813559322,581327.2048261994,320.8232445520581,88335.25054376821
