epsilon,N,k2,k1,data_duplication,store_complexity,get_complexity,join_complexity
0.1,2500,72,4,34.72222222222222,684876.5432098765,460.06944444444446,76220.60185185185
0.1,2500,71,4,35.2112676056338,704165.840111089,466.5492957746479,76410.16663360444
0.1,2500,70,4,35.714285714285715,724285.7142857143,473.2142857142857,76607.14285714286
0.1,2500,69,4,36.231884057971016,745284.6040747743,480.07246376811594,76811.94076874606
0.1,2500,68,4,36.76470588235294,767214.5328719724,487.13235294117646,77025.0
0.1,2500,67,4,37.3134328358209,790131.4323902875,494.4029850746269,77246.79215860994
0.1,2500,66,4,37.878787878787875,814095.5004591368,501.8939393939394,77477.82369146006
0.1,2500,65,4,38.46153846153846,839171.5976331361,509.6153846153846,77718.63905325443
0.1,2500,64,4,39.0625,865429.6875,517.578125,77969.82421875
0.1,2500,63,4,39.682539682539684,892945.3262786597,525.7936507936508,78232.01058201058
0.1,2500,62,4,40.32258064516129,921800.2081165452,534.2741935483871,78505.87929240374
0.1,2500,61,4,40.98360655737705,952082.773447998,543.032786885246,78792.16608438591
0.1,2500,60,4,41.666666666666664,983888.8888888888,552.0833333333333,79091.66666666667
0.1,2500,59,4,42.3728813559322,1017322.6084458488,561.4406779661017,79405.24274633726
0.1,2500,58,4,43.10344827586207,1052497.0273483947,571.1206896551724,79733.82877526754
0.1,2500,57,4,43.85964912280702,1089535.2416128041,581.140350877193,80078.43951985225
0.1,2500,56,4,44.642857142857146,1128571.4285714289,591.5178571428571,80440.17857142857
0.1,2500,55,5,45.45454545454545,935801.652892562,481.81818181818187,68320.2479338843
0.1,2500,54,5,46.2962962962963,970589.8491083677,490.74074074074076,68719.95884773662
0.1,2500,53,5,47.16981132075472,1007362.0505517978,500.00000000000006,69140.74403702385
0.1,2500,52,5,48.07692307692308,1046272.1893491125,509.6153846153846,69584.17159763313
0.1,2500,51,5,49.01960784313726,1087489.4271434064,519.6078431372549,70051.96078431372
0.1,2500,50,5,50.0,1131200.0,530.0,70546.0
0.1,2500,49,5,51.02040816326531,1177609.329446064,540.8163265306123,71068.36734693877
0.1,2500,48,5,52.083333333333336,1226944.4444444445,552.0833333333333,71621.35416666667
0.1,2500,47,5,53.191489361702125,1279456.7677682207,563.8297872340426,72207.49207786328
0.1,2500,46,5,54.34782608695652,1335425.3308128545,576.0869565217391,72829.58412098298
0.1,2500,45,5,55.55555555555556,1395160.4938271604,588.8888888888889,73490.74074074074
0.1,2500,44,5,56.81818181818182,1459008.2644628098,602.2727272727273,74194.42148760331
0.1,2500,43,5,58.13953488372093,1527355.327203894,616.2790697674418,74944.48350459708
0.1,2500,42,5,59.523809523809526,1600634.920634921,630.952380952381,75745.23809523809
0.1,2500,41,5,60.97560975609756,1679333.729922665,646.3414634146342,76601.51695419394
0.1,2500,40,5,62.5,1764000.0,662.5,77518.75
0.1,2500,39,5,64.1025641025641,1855253.122945431,679.4871794871796,78503.05719921105
0.1,2500,38,5,65.78947368421052,1953795.0138504151,697.3684210526316,79561.35734072022
0.1,2500,37,5,67.56756756756756,2060423.6669101533,716.2162162162163,80701.49744338934
0.1,2500,36,5,69.44444444444444,2176049.3827160494,736.1111111111111,81932.40740740742
0.1,2500,35,5,71.42857142857143,2301714.285714286,757.1428571428571,83264.28571428571
0.1,2500,34,5,73.52941176470588,2438615.916955017,779.4117647058823,84708.82352941176
0.1,2500,33,5,75.75757575757575,2588135.9044995406,803.0303030303031,86279.47658402204
0.1,2500,32,5,78.125,2751875.0,828.125,87991.796875
0.1,2500,31,5,80.64516129032258,2931696.149843912,854.8387096774194,89863.83975026014
0.1,2500,30,5,83.33333333333333,3129777.7777777775,883.3333333333334,91916.66666666666
