epsilon,N,k2,k1,data_duplication,store_complexity,get_complexity,join_complexity
0.05,2500,72,2,34.72222222222222,1369753.086419753,920.1388888888889,138720.60185185185
0.05,2500,71,2,35.2112676056338,1408331.680222178,933.0985915492957,138910.16663360444
0.05,2500,70,2,35.714285714285715,1448571.4285714286,946.4285714285714,139107.14285714287
0.05,2500,69,2,36.231884057971016,1490569.2081495486,960.1449275362319,139311.94076874608
0.05,2500,68,2,36.76470588235294,1534429.0657439448,974.2647058823529,139525.0
0.05,2500,67,2,37.3134328358209,1580262.864780575,988.8059701492538,139746.79215860993
0.05,2500,66,2,37.878787878787875,1628191.0009182736,1003.7878787878788,139977.82369146004
0.05,2500,65,2,38.46153846153846,1678343.1952662722,1019.2307692307692,140218.63905325445
0.05,2500,64,2,39.0625,1730859.375,1035.15625,140469.82421875
0.05,2500,63,2,39.682539682539684,1785890.6525573195,1051.5873015873017,140732.01058201058
0.05,2500,62,2,40.32258064516129,1843600.4162330905,1068.5483870967741,141005.87929240376
0.05,2500,61,2,40.98360655737705,1904165.546895996,1086.065573770492,141292.1660843859
0.05,2500,60,2,41.666666666666664,1967777.7777777775,1104.1666666666665,141591.66666666666
0.05,2500,59,2,42.3728813559322,2034645.2168916976,1122.8813559322034,141905.24274633726
0.05,2500,58,2,43.10344827586207,2104994.0546967895,1142.2413793103449,142233.82877526752
0.05,2500,57,2,43.85964912280702,2179070.4832256082,1162.280701754386,142578.43951985225
0.05,2500,56,2,44.642857142857146,2257142.8571428577,1183.0357142857142,142940.17857142858
0.05,2500,55,2,45.45454545454545,2339504.1322314045,1204.5454545454545,143320.2479338843
0.05,2500,54,2,46.2962962962963,2426474.6227709195,1226.851851851852,143719.95884773662
0.05,2500,53,2,47.16981132075472,2518405.126379495,1250.0,144140.74403702386
0.05,2500,52,2,48.07692307692308,2615680.473372781,1274.0384615384617,144584.17159763313
0.05,2500,51,3,49.01960784313726,1812482.378572344,866.0130718954247,103385.29411764705
0.05,2500,50,3,50.0,1885333.3333333335,883.3333333333334,103879.33333333333
0.05,2500,49,3,51.02040816326531,1962682.21574344,901.360544217687,104401.7006802721
0.05,2500,48,3,52.083333333333336,2044907.4074074074,920.1388888888889,104954.6875
0.05,2500,47,3,53.191489361702125,2132427.946280368,939.7163120567376,105540.82541119662
0.05,2500,46,3,54.34782608695652,2225708.884688091,960.1449275362319,106162.91745431631
0.05,2500,45,3,55.55555555555556,2325267.4897119347,981.4814814814815,106824.07407407407
0.05,2500,44,3,56.81818181818182,2431680.44077135,1003.7878787878788,107527.75482093664
0.05,2500,43,3,58.13953488372093,2545592.2120064897,1027.1317829457364,108277.81683793041
0.05,2500,42,3,59.523809523809526,2667724.867724868,1051.5873015873017,109078.57142857142
0.05,2500,41,3,60.97560975609756,2798889.549871109,1077.2357723577236,109934.85028752725
0.05,2500,40,3,62.5,2940000.0,1104.1666666666665,110852.08333333333
0.05,2500,39,3,64.1025641025641,3092088.5382423843,1132.4786324786323,111836.39053254438
0.05,2500,38,3,65.78947368421052,3256325.023084026,1162.280701754386,112894.69067405355
0.05,2500,37,3,67.56756756756756,3434039.4448502553,1193.6936936936936,114034.83077672267
0.05,2500,36,3,69.44444444444444,3626748.971193416,1226.851851851852,115265.74074074073
0.05,2500,35,3,71.42857142857143,3836190.476190476,1261.904761904762,116597.61904761904
0.05,2500,34,3,73.52941176470588,4064359.861591696,1299.0196078431372,118042.15686274509
0.05,2500,33,3,75.75757575757575,4313559.840832568,1338.3838383838383,119612.80991735536
0.05,2500,32,3,78.125,4586458.333333334,1380.2083333333335,121325.13020833333
0.05,2500,31,3,80.64516129032258,4886160.249739855,1424.731182795699,123197.17308359347
0.05,2500,30,3,83.33333333333333,5216296.296296296,1472.2222222222222,125250.0
0.05,2500,29,3,86.20689655172414,5581133.571145462,1522.9885057471263,127508.30360681727
0.05,2500,28,3,89.28571428571429,5985714.285714286,1577.3809523809525,130001.19047619047
0.05,2500,27,3,92.5925925925926,6436031.092821215,1635.8024691358023,132763.16872427982
0.05,2500,26,3,96.15384615384616,6939250.493096647,1698.7179487179487,135835.4043392505
0.05,2500,25,3,100.0,7504000.0,1766.6666666666667,139267.3333333333
0.05,2500,24,3,104.16666666666667,8140740.740740742,1840.2777777777778,143118.75
0.05,2500,23,3,108.69565217391305,8862255.828607436,1920.2898550724638,147462.53938248268
0.05,2500,22,3,113.63636363636364,9684297.520661158,2007.5757575757575,152388.29201101928
0.05,2500,21,3,119.04761904761905,10626455.026455026,2103.1746031746034,158007.14285714284
0.05,2500,20,3,125.0,11713333.333333332,2208.333333333333,164458.3333333333
0.05,2500,19,3,131.57894736842104,12976177.28531856,2324.561403508772,171918.23638042476
0.05,2500,18,3,138.88888888888889,14455144.032921812,2453.703703703704,180612.96296296298
0.05,2500,17,3,147.05882352941177,16202537.48558247,2598.0392156862745,190836.27450980392
0.05,2500,16,3,156.25,18287500.000000004,2760.416666666667,202975.5208333333
0.05,2500,15,3,166.66666666666666,20802962.962962963,2944.4444444444443,217550.0
0.05,2500,14,3,178.57142857142858,23876190.476190478,3154.761904761905,235269.04761904763
0.05,2500,13,3,192.30769230769232,27685207.100591715,3397.4358974358975,257122.38658777118
0.05,2500,12,3,208.33333333333334,32485185.185185187,3680.5555555555557,284525.0
0.05,2500,11,3,227.27272727272728,38652341.59779614,4015.151515151515,319557.7134986226
0.05,2500,10,3,250.0,46760000.0,4416.666666666666,365383.3333333333
0.05,2500,9,3,277.77777777777777,57716872.427983545,4907.407407407408,427001.85185185185
0.05,2500,8,3,312.5,73033333.33333334,5520.833333333334,512702.0833333333
0.05,2500,7,3,357.14285714285717,95371428.57142858,6309.52380952381,637054.7619047619
0.05,2500,6,3,416.6666666666667,129785185.1851852,7361.111111111111,827650.0
0.05,2500,5,3,500.0,186853333.3333333,8833.333333333332,1142083.3333333333
0.05,2500,4,3,625.0,291900000.00000006,11041.666666666668,1717858.3333333333
0.05,2500,3,3,833.3333333333334,518829629.6296296,14722.222222222223,2955150.0
0.05,2500,2,3,1250.0,1167133333.3333335,22083.333333333336,6470983.333333333
0.05,2500,1,3,2500.0,4667600000.000001,44166.66666666667,25348483.333333332
