epsilon,N,k2,k1,data_duplication,store_complexity,get_complexity,join_complexity
0.05,10000,277,5,36.101083032490976,591959.7544605038,382.6714801444043,214261.5484367058
0.05,10000,276,5,36.231884057971016,596227.6832598194,384.05797101449275,214313.51606805294
0.05,10000,275,5,36.36363636363637,600542.1487603306,385.45454545454544,214366.0
0.05,10000,274,5,36.496350364963504,604903.8307848048,386.86131386861314,214419.00740582877
0.05,10000,273,5,36.63003663003663,609313.421621114,388.27838827838826,214472.54558628186
0.05,10000,272,5,36.76470588235294,613771.6262975779,389.70588235294116,214526.62197231833
0.05,10000,271,5,36.90036900369004,618279.1628654295,391.1439114391144,214581.24412793943
0.05,10000,270,5,37.03703703703704,622836.7626886145,392.5925925925926,214636.41975308643
0.05,10000,269,5,37.174721189591075,627445.170741145,394.0520446096654,214692.15668661296
0.05,10000,268,5,37.3134328358209,632105.1459122299,395.52238805970154,214748.46290933393
0.05,10000,267,5,37.453183520599254,636817.4613194182,397.00374531835206,214805.34654715314
0.05,10000,266,5,37.59398496240601,641582.9046299959,398.49624060150376,214862.81587427214
0.05,10000,265,5,37.735849056603776,646402.2783908864,400.0,214920.87931648272
0.05,10000,264,5,37.878787878787875,651276.4003673095,401.51515151515156,214979.54545454544
0.05,10000,263,5,38.02281368821293,656206.1038904712,403.04182509505705,215038.8230276569
0.05,10000,262,5,38.16793893129771,661192.2382145562,404.58015267175574,215098.72093700833
0.05,10000,261,5,38.31417624521073,666235.6688833106,406.1302681992337,215159.2482494385
0.05,10000,260,5,38.46153846153846,671337.2781065089,407.6923076923077,215220.41420118342
0.05,10000,259,5,38.61003861003861,676497.9651466137,409.26640926640925,215282.22820172628
0.05,10000,258,5,38.75968992248062,681718.6467159424,410.85271317829455,215344.69983775014
0.05,10000,257,6,38.91050583657587,572500.2144872241,343.7094682230869,182074.5055438639
0.05,10000,256,6,39.0625,576953.125,345.05208333333337,182138.32194010416
0.05,10000,255,6,39.21568627450981,581458.4134307317,346.4052287581699,182202.82583621683
0.05,10000,254,6,39.37007874015748,586016.905367144,347.7690288713911,182268.02756938848
0.05,10000,253,6,39.52569169960474,590629.4427346154,349.1436100131752,182333.93767543105
0.05,10000,252,6,39.682539682539684,595296.8841857732,350.52910052910056,182400.56689342402
0.05,10000,251,6,39.8406374501992,600020.105500971,351.92563081009297,182467.92617048405
0.05,10000,250,6,40.0,604800.0,353.33333333333337,182536.02666666667
0.05,10000,249,6,40.16064257028113,609637.478965393,354.7523427041499,182604.87976000385
0.05,10000,248,6,40.32258064516129,614533.4720776968,356.18279569892474,182674.49705168227
0.05,10000,247,6,40.48582995951417,619488.9278631022,357.62483130904184,182744.89037136597
