epsilon,N,k2,k1,data_duplication,store_complexity,get_complexity,join_complexity
0.1,10000,277,8,36.101083032490976,369974.84653781494,239.16967509025272,139261.5484367058
0.1,10000,276,8,36.231884057971016,372642.30203738715,240.03623188405797,139313.51606805294
0.1,10000,275,8,36.36363636363637,375338.84297520673,240.90909090909093,139366.0
0.1,10000,274,8,36.496350364963504,378064.8942405029,241.78832116788323,139419.00740582877
0.1,10000,273,8,36.63003663003663,380820.88851319614,242.67399267399264,139472.54558628186
0.1,10000,272,8,36.76470588235294,383607.2664359862,243.56617647058823,139526.62197231833
0.1,10000,271,8,36.90036900369004,386424.4767908934,244.46494464944652,139581.24412793943
0.1,10000,270,8,37.03703703703704,389272.97668038413,245.37037037037038,139636.41975308643
0.1,10000,269,8,37.174721189591075,392153.2317132156,246.28252788104086,139692.15668661296
0.1,10000,268,8,37.3134328358209,395065.71619514376,247.20149253731344,139748.46290933393
0.1,10000,267,8,37.453183520599254,398010.9133246364,248.12734082397003,139805.34654715314
0.1,10000,266,8,37.59398496240601,400989.31539374747,249.06015037593983,139862.81587427214
0.1,10000,265,8,37.735849056603776,404001.4239943041,250.00000000000003,139920.87931648272
0.1,10000,264,8,37.878787878787875,407047.7502295684,250.9469696969697,139979.54545454544
0.1,10000,263,8,38.02281368821293,410128.8149315444,251.90114068441065,140038.8230276569
0.1,10000,262,8,38.16793893129771,413245.1488840977,252.86259541984734,140098.72093700833
0.1,10000,261,8,38.31417624521073,416397.2930520692,253.8314176245211,140159.2482494385
0.1,10000,260,8,38.46153846153846,419585.79881656804,254.8076923076923,140220.41420118342
0.1,10000,259,8,38.61003861003861,422811.2282166336,255.79150579150578,140282.22820172628
0.1,10000,258,8,38.75968992248062,426074.15419746406,256.7829457364341,140344.69983775014
0.1,10000,257,8,38.91050583657587,429375.16086541803,257.78210116731515,140407.83887719724
0.1,10000,256,8,39.0625,432714.84375,258.7890625,140471.6552734375
0.1,10000,255,8,39.21568627450981,436093.81007304887,259.80392156862746,140536.15916955017
0.1,10000,254,8,39.37007874015748,439512.6790253581,260.8267716535433,140601.36090272182
0.1,10000,253,8,39.52569169960474,442972.08205096156,261.8577075098814,140667.2710087644
0.1,10000,252,8,39.682539682539684,446472.6631393299,262.8968253968254,140733.90022675737
0.1,10000,251,8,39.8406374501992,450015.07912572817,263.9442231075697,140801.2595038174
0.1,10000,250,8,40.0,453600.0,265.0,140869.36
0.1,10000,249,8,40.16064257028113,457228.10922404483,266.0642570281125,140938.2130933372
0.1,10000,248,8,40.32258064516129,460900.1040582726,267.13709677419354,141007.8303850156
0.1,10000,247,8,40.48582995951417,464616.6958973267,268.2186234817814,141078.2237046993
0.1,10000,246,8,40.65040650406504,468378.6106153744,269.3089430894309,141149.40511600237
0.1,10000,245,8,40.816326530612244,472186.58892128273,270.40816326530614,141221.38692211578
0.1,10000,244,8,40.98360655737705,476041.386723999,271.516393442623,141294.18167159366
0.1,10000,243,8,41.1522633744856,479943.77550847613,272.6337448559671,141367.80216430422
0.1,10000,242,8,41.32231404958678,483894.54272249166,273.7603305785124,141442.26145755072
0.1,10000,241,9,41.49377593360996,433683.99304419686,244.35223605348085,127628.68398347902
0.1,10000,240,9,41.666666666666664,437283.95061728393,245.37037037037038,127704.86111111111
0.1,10000,239,9,41.84100418410042,440929.0998251276,246.39702463970247,127781.91781967714
0.1,10000,238,9,42.016806722689076,444620.20102158515,247.43230625583567,127859.8682610299
0.1,10000,237,9,42.19409282700422,448358.0306258296,248.47632442569153,127938.72687781516
0.1,10000,236,9,42.3728813559322,452143.38153148844,249.52919020715632,128018.50841073765
0.1,10000,235,9,42.5531914893617,455977.06352799153,250.59101654846336,128099.22790604093
0.1,10000,234,9,42.73504273504273,459859.9037345476,251.661918328585,128180.90072320841
0.1,10000,233,9,42.918454935622314,463792.7470471816,252.74201239866474,128263.54254289287
0.1,10000,232,9,43.10344827586207,467776.45659928664,253.8314176245211,128347.16937508257
0.1,10000,231,9,43.29004329004329,471811.9142361567,254.93025493025493,128431.79756751185
0.1,10000,230,9,43.47826086956522,475900.0210039908,256.0386473429952,128517.44381432472
0.1,10000,229,9,43.66812227074236,480041.6976538713,257.1567200388161,128604.12516500024
0.1,10000,228,9,43.85964912280702,484237.88516124623,258.28460038986356,128691.85903354878
0.1,10000,227,9,44.052863436123346,488489.5452614601,259.4224180127264,128780.6632079886
0.1,10000,226,9,44.24778761061947,492797.66100190557,260.5703048180924,128870.5558601126
0.1,10000,225,9,44.44444444444444,497163.23731138546,261.72839506172835,128961.55555555556
0.1,10000,224,9,44.642857142857146,501587.30158730166,262.8968253968254,129053.68126417234
0.1,10000,223,9,44.84304932735426,506070.90430131316,264.0757349277529,129146.95237073829
0.1,10000,222,9,45.04504504504504,510615.1196241286,265.26526526526527,129241.38868598329
0.1,10000,221,9,45.248868778280546,515221.04607012775,266.46556058320766,129337.01045797134
0.1,10000,220,9,45.45454545454545,519889.80716253433,267.67676767676767,129433.83838383839
0.1,10000,219,9,45.662100456621005,524622.5521198937,268.8990360223237,129531.89362190112
0.1,10000,218,9,45.87155963302752,529420.4565646364,270.13251783893986,129631.19780415042
0.1,10000,217,9,46.08294930875576,534284.7232545463,271.3773681515617,129731.77304914335
0.1,10000,216,9,46.2962962962963,539216.5828379821,272.6337448559671,129833.64197530864
0.1,10000,215,9,46.51162790697674,544217.2946337359,273.90180878552974,129936.8277146806
0.1,10000,214,9,46.728971962616825,549288.1474364573,275.1817237798546,130041.35392707757
