k,epsilon,N,k2,k1,data_duplication,store_complexity,get_complexity,join_complexity
16,0.05,5000,50,5,6.25,694560.0,22026.25,155942.0
16,0.05,5000,49,5,6.377551020408164,722728.8629737609,22808.95980841316,157811.39108704706
16,0.05,5000,48,5,6.510416666666667,752666.6666666666,23638.454861111113,159794.09722222222
16,0.05,5000,47,6,6.648936170212766,653770.9370755998,21284.37641466727,145232.99381318846
16,0.05,5000,46,6,6.793478260869565,682060.4914933838,22082.250315059864,147471.99117832386
16,0.05,5000,45,6,6.944444444444445,712246.913580247,22930.81275720165,149856.17283950618
16,0.05,5000,44,6,7.1022727272727275,744504.132231405,23834.58161157025,152398.62258953167
16,0.05,5000,43,6,7.267441860465116,779026.5008112493,24798.596087975482,155113.9444744907
16,0.05,5000,42,6,7.440476190476191,816031.7460317462,25828.49111866969,158018.48072562358
16,0.05,5000,41,6,7.621951219512195,855764.4259369423,26930.584473527662,161130.5671227444
16,0.05,5000,40,6,7.8125,898500.0,28111.979166666668,164470.8333333333
16,0.05,5000,39,6,8.012820512820513,944549.6383957922,29380.684308568925,168062.55752794212
16,0.05,5000,38,6,8.223684210526315,994265.9279778394,30745.758310249308,171932.0867959372
16,0.05,5000,37,6,8.445945945945946,1048049.6712929144,32217.47930362795,176109.33771609445
16,0.05,5000,36,6,8.680555555555555,1106358.024691358,33807.54886831276,180628.39506172837
16,0.05,5000,35,6,8.928571428571429,1169714.285714286,35529.33673469388,185528.23129251698
16,0.05,5000,34,6,9.191176470588236,1238719.7231833912,37398.17618223761,190853.5755478662
16,0.05,5000,33,6,9.469696969696969,1314067.9522497703,39431.72252831343,196655.96877869603
16,0.05,5000,32,6,9.765625,1396562.5,41650.39062500001,202995.0520833333
16,0.05,5000,31,6,10.080645161290322,1487138.3975026014,44077.89195282692,209940.14915019076
16,0.05,5000,30,6,10.416666666666666,1586888.8888888888,46741.89814814814,217572.22222222222
16,0.05,5000,29,6,10.775862068965518,1697098.692033294,49674.86623067777,225986.30598493858
16,0.05,5000,28,6,11.160714285714286,1819285.7142857146,52915.072278911575,235294.55782312923
16,0.05,5000,27,6,11.574074074074074,1955253.772290809,56507.916095107445,245630.109739369
16,0.05,5000,26,6,12.01923076923077,2107159.7633136096,60507.581360946744,257151.97238658776
16,0.05,5000,25,6,12.5,2277600.0,64979.166666666664,270051.3333333333
16,0.05,5000,24,6,13.020833333333334,2469722.222222222,70001.44675925927,284559.7222222222
16,0.05,5000,23,6,13.58695652173913,2687372.4007561435,75670.48676748583,300959.7038437303
16,0.05,5000,22,6,14.204545454545455,2935289.2561983475,82104.42493112948,319599.03581267217
16,0.05,5000,21,6,14.880952380952381,3219365.0793650798,89449.87717309146,340909.63718820864
16,0.05,5000,20,6,15.625,3547000.0,97890.62499999999,365433.3333333333
16,0.05,5000,19,6,16.44736842105263,3927590.027700831,107659.56832871654,393857.29455216986
16,0.05,5000,18,6,17.36111111111111,4373209.87654321,119055.42695473251,427063.58024691354
16,0.05,5000,17,7,18.38235294117647,4199644.09293129,115562.12926347011,454294.83440434997
16,0.05,5000,16,7,19.53125,4737857.142857144,129349.88839285716,500875.4464285714
16,0.05,5000,15,7,20.833333333333332,5387047.6190476185,145909.72222222222,556934.126984127
16,0.05,5000,14,7,22.321428571428573,6180000.000000001,166050.01822157437,625252.0408163266
16,0.05,5000,13,7,24.03846153846154,7162569.737954353,190898.93279797127,709714.6661031276
16,0.05,5000,12,7,26.041666666666668,8400476.19047619,222069.69246031746,815884.126984127
16,0.05,5000,11,7,28.40909090909091,9990602.12514758,261935.13872491143,951950.4722550177
16,0.05,5000,10,7,31.25,12080571.428571431,314102.6785714286,1130378.5714285714
16,0.05,5000,9,7,34.72222222222222,14904338.624338625,384276.3447971782,1370899.5590828923
16,0.05,5000,8,7,39.0625,18850714.28571429,481914.06250000006,1706266.0714285714
16,0.05,5000,7,7,44.642857142857146,24604897.959183678,623645.225947522,2194129.5918367347
16,0.05,5000,6,7,52.083333333333336,33467619.04761905,840964.7817460318,2943800.7936507934
16,0.05,5000,5,7,62.5,48161142.857142866,1199633.9285714286,4183778.5714285714
16,0.05,5000,4,7,78.125,75201428.57142858,1856685.267857143,6460328.571428572
16,0.05,5000,3,7,104.16666666666667,133601904.76190478,3269231.150793651,11365467.460317459
16,0.05,5000,2,7,156.25,300402857.1428572,7284799.107142858,25341578.57142857
16,0.05,5000,1,7,312.5,1200805714.2857146,28855312.500000004,100596578.57142857
