k,epsilon,N,k2,k1,data_duplication,store_complexity,get_complexity,join_complexity
8,0.1,10000,116,13,10.775862068965518,263532.4247690478,9014.937574316291,121106.96515137656
8,0.1,10000,115,14,10.869565217391305,248922.49527410208,8761.342155009452,116212.5978935998
8,0.1,10000,114,14,10.964912280701755,253247.15297014467,8857.313239238447,116827.87890779582
8,0.1,10000,113,14,11.061946902654867,257686.5846973138,8955.324278665965,117458.82830068358
8,0.1,10000,112,14,11.160714285714286,262244.8979591837,9055.439139941693,118105.99489795919
8,0.1,10000,111,14,11.26126126126126,266926.38584530476,9157.724326643245,118769.95199833039
8,0.1,10000,110,14,11.363636363636363,271735.53719008266,9262.249114521841,119451.29870129871
8,0.1,10000,109,14,11.46788990825688,276677.04738658364,9369.085695047313,120150.66131999472
8,0.1,10000,108,14,11.574074074074074,281755.8299039781,9478.309327846364,120868.69488536156
8,0.1,10000,107,14,11.682242990654206,286977.02856144647,9589.998502676466,121606.08474851205
8,0.1,10000,106,14,11.79245283018868,292346.03061587753,9704.235111630982,122363.548288664
8,0.1,10000,105,14,11.904761904761905,297868.4807256236,9821.104632329121,123141.83673469388
8,0.1,10000,104,14,12.01923076923077,303550.2958579881,9940.696322907861,123941.7371090448
8,0.1,10000,103,15,12.135922330097088,288771.169133126,9703.718540861533,120002.1695415842
8,0.1,10000,102,15,12.254901960784315,294389.3374343202,9823.737665000643,120847.80853517877
8,0.1,10000,101,15,12.376237623762377,300174.49269679445,9946.631049243539,121717.65676567657
8,0.1,10000,100,15,12.5,306133.3333333334,10072.5,122612.66666666667
8,0.1,10000,99,15,12.626262626262626,312272.8973234024,10201.450532258614,123533.83838383839
8,0.1,10000,98,15,12.755102040816327,318600.583090379,10333.593641538248,124482.22268499236
8,0.1,10000,97,15,12.88659793814433,325124.17189215997,10469.045594643427,125458.92407978178
8,0.1,10000,96,15,13.020833333333334,331851.85185185185,10607.92824074074,126465.10416666667
8,0.1,10000,95,15,13.157894736842104,338792.243767313,10750.369344413664,127501.98522622345
8,0.1,10000,94,15,13.297872340425531,345954.4288516674,10896.502942507921,128570.85408178665
8,0.1,10000,93,15,13.440860215053764,353347.9785717039,11046.469726750685,129673.06625043358
8,0.1,10000,92,15,13.58695652173913,360982.9867674859,11200.41745431632,130810.05040957782
8,0.1,10000,91,15,13.736263736263735,368870.10425471957,11358.501388721168,131983.31320693958
8,0.1,10000,90,16,13.88888888888889,353456.7901234568,11135.030864197532,129027.77777777778
8,0.1,10000,89,16,14.044943820224718,361355.889407903,11295.212094432522,130278.45600302992
8,0.1,10000,88,16,14.204545454545455,369524.7933884298,11459.839876033058,131570.45454545453
8,0.1,10000,87,16,14.367816091954023,377975.95455145993,11629.095653322764,132905.64803804993
8,0.1,10000,86,16,14.534883720930232,386722.552731206,11803.170632774472,134286.01946998376
8,0.1,10000,85,16,14.705882352941176,395778.5467128027,11982.266435986157,135713.6678200692
8,0.1,10000,84,16,14.880952380952381,405158.7301587302,12166.595804988663,137190.8163265306
8,0.1,10000,83,16,15.060240963855422,414878.7922775439,12356.38336478444,138719.8214544927
8,0.1,10000,82,16,15.24390243902439,424955.38370017847,12551.866448542534,140303.18262938727
8,0.1,10000,81,16,15.432098765432098,435406.18808108516,12753.295991464716,141943.55281207134
8,0.1,10000,80,16,15.625,446250.0,12960.9375,143643.75
8,0.1,10000,79,16,15.822784810126583,457506.8098061208,13175.072103829516,145406.76974843774
8,0.1,10000,78,17,16.025641025641026,441598.01987856283,12970.931469234636,143559.32822833274
8,0.1,10000,77,17,16.233766233766232,453031.4605180915,13190.263708789298,145457.75946742334
8,0.1,10000,76,17,16.44736842105263,464917.7122372494,13416.724376731301,147429.20808212482
8,0.1,10000,75,17,16.666666666666668,477281.04575163394,13650.653594771242,149477.5294117647
8,0.1,10000,74,17,16.89189189189189,490147.3810853779,13892.412881880291,151606.83839642504
8,0.1,10000,73,17,17.123287671232877,503544.42396211624,14142.386829004448,153821.53091298445
8,0.1,10000,72,17,17.36111111111111,517501.8155410312,14400.98493100944,156126.30718954248
8,0.1,10000,71,17,17.6056338028169,532051.2970115639,14668.643593124612,158526.19753316918
8,0.1,10000,70,17,17.857142857142858,547226.8907563026,14945.828331332534,161026.5906362545
8,0.1,10000,69,17,18.115942028985508,563065.1000160619,15233.03618864055,163633.26476148114
8,0.1,10000,68,18,18.38235294117647,547404.8442906574,15061.154363706266,163084.44828911958
8,0.1,10000,67,18,18.65671641791045,563728.6205786986,15358.747308234946,165922.7531496745
8,0.1,10000,66,18,18.939393939393938,580797.8777675747,15667.597694112843,168887.37373737374
8,0.1,10000,65,18,19.23076923076923,598658.7771203156,15988.330046022353,171986.02892833663
8,0.1,10000,64,18,19.53125,617361.1111111111,16321.614583333334,175227.03993055556
8,0.1,10000,63,18,19.841269841269842,636958.6517734666,16668.171383779852,178619.38775510204
8,0.1,10000,62,18,20.161290322580644,657509.5386749912,17028.775002890507,182172.77719967626
8,0.1,10000,61,18,20.491803278688526,679076.711756099,17404.25960763236,185897.7082026934
8,0.1,10000,60,18,20.833333333333332,701728.3950617284,17795.524691358023,189805.55555555556
8,0.1,10000,59,19,21.1864406779661,687352.3942000937,17674.764511105397,190984.68150410498
8,0.1,10000,58,19,21.551724137931036,711083.2968270857,18085.57325239377,195296.4422053946
8,0.1,10000,57,19,21.92982456140351,736071.0178030488,18514.583434579064,199831.4404432133
8,0.1,10000,56,19,22.321428571428573,762406.015037594,18962.976638023632,204605.55853920517
8,0.1,10000,55,19,22.727272727272727,790187.0378425403,19432.0356676816,209636.12440191387
8,0.1,10000,54,19,23.14814814814815,819522.0561692297,19923.155367843476,214942.07277452893
8,0.1,10000,53,19,23.58490566037736,850529.3136722189,20437.854827528055,220544.12789717264
8,0.1,10000,52,19,24.03846153846154,883338.5238243539,20977.79118654625,226465.01090003113
8,0.1,10000,51,20,24.50980392156863,872187.6201460977,20939.350249903888,230098.09688581314
8,0.1,10000,50,20,25.0,907200.0,21515.0,236734.0
8,0.1,10000,49,20,25.510204081632654,944373.1778425656,22120.678883798417,243771.40774677217
8,0.1,10000,48,20,26.041666666666668,983888.8888888888,22758.68055555556,251243.75
8,0.1,10000,47,20,26.595744680851062,1025948.3929379809,23431.530104119513,259188.02625622455
8,0.1,10000,46,20,27.17391304347826,1070775.0472589794,24142.01323251418,267645.2741020794
8,0.1,10000,45,20,27.77777777777778,1118617.2839506173,24893.209876543213,276661.1111111111
8,0.1,10000,44,20,28.40909090909091,1169752.0661157025,25688.53305785124,286286.36363636365
8,0.1,10000,43,21,29.069767441860463,1166179.9170722913,25801.301862010354,294196.8464292153
8,0.1,10000,42,21,29.761904761904763,1222071.0506424792,26666.73415397905,305218.0272108844
8,0.1,10000,41,21,30.48780487804878,1282093.9916716241,27586.93096512847,317040.31472196255
8,0.1,10000,40,21,31.25,1346666.6666666665,28566.964285714286,329744.04761904763
8,0.1,10000,39,21,32.05128205128205,1416261.231645847,29612.527785604707,343419.9351930121
8,0.1,10000,38,21,32.89473684210526,1491412.7423822714,30730.032317636193,358170.70966890914
8,0.1,10000,37,22,33.78378378378378,1501241.7823228633,31066.72089780198,371948.5922039976
8,0.1,10000,36,22,34.72222222222222,1585409.6520763189,32308.852413019078,389215.6565656566
8,0.1,10000,35,22,35.714285714285715,1676883.116883117,33644.248608534326,407959.6474953618
8,0.1,10000,34,22,36.76470588235294,1776533.501100975,35083.16294432212,428355.4105064486
8,0.1,10000,33,22,37.878787878787875,1885366.0572668833,36637.34451957592,450604.54545454547
8,0.1,10000,32,22,39.0625,2004545.4545454546,38320.3125,474940.48295454547
8,0.1,10000,31,22,40.32258064516129,2135427.1119099422,40147.69179831615,501634.72235360893
