k,epsilon,N,k2,k1,data_duplication,store_complexity,get_complexity,join_complexity
8,0.1,5000,59,9,10.59322033898305,380885.44160362607,11036.639375658337,98579.72964346132
8,0.1,5000,58,9,10.775862068965518,393946.36015325674,11338.890540362005,99736.47113224996
8,0.1,5000,57,9,10.964912280701755,407697.4111692487,11655.744502581992,100951.78516466604
8,0.1,5000,56,9,11.160714285714286,422188.2086167801,11988.201530612245,102229.7902494331
8,0.1,5000,55,9,11.363636363636363,437472.91092745634,12337.350780532597,103574.97704315887
8,0.1,5000,54,9,11.574074074074074,453610.73007163545,12704.380048773053,104992.24965706447
8,0.1,5000,53,10,11.79245283018868,423599.8576005696,12235.53755784977,100931.4168743325
8,0.1,5000,52,10,12.01923076923077,439840.23668639053,12610.392011834321,102509.4674556213
8,0.1,5000,51,10,12.254901960784315,457041.138023837,13005.52672049212,104177.29719338716
8,0.1,5000,50,10,12.5,475280.0,13422.5,105942.0
8,0.1,5000,49,10,12.755102040816327,494642.2324031653,13863.025822573927,107811.39108704706
8,0.1,5000,48,10,13.020833333333334,515222.2222222222,14328.993055555557,109794.09722222222
8,0.1,5000,47,10,13.297872340425531,537124.4907197827,14822.487550928021,111899.66047985514
8,0.1,5000,46,10,13.58695652173913,560465.0283553876,15345.817580340266,114138.65784499055
8,0.1,5000,45,10,13.88888888888889,585372.8395061729,15901.543209876543,116522.83950617284
8,0.1,5000,44,10,14.204545454545455,611991.73553719,16492.510330578512,119065.28925619835
8,0.1,5000,43,10,14.534883720930232,640482.4229313142,17121.890210924823,121780.61114115738
8,0.1,5000,42,10,14.880952380952381,671024.9433106577,17793.22562358277,124685.14739229025
8,0.1,5000,41,10,15.24390243902439,703821.5348007139,18510.484830458063,127797.23378941107
8,0.1,5000,40,10,15.625,739100.0,19278.125,131137.5
8,0.1,5000,39,11,16.025641025641026,706470.6233937003,18834.68561353177,130183.76964915426
8,0.1,5000,38,11,16.44736842105263,743787.4590783177,19653.188743389575,134053.29891714934
8,0.1,5000,37,11,16.89189189189189,784160.9668636696,20533.858489939572,138230.5498373066
8,0.1,5000,36,11,17.36111111111111,827934.9046015713,21483.41049382716,142749.60718294053
8,0.1,5000,35,11,17.857142857142858,875502.7829313544,22509.508348794065,147649.44341372914
8,0.1,5000,34,11,18.38235294117647,927316.7662787039,23620.930324001256,152974.78766907833
8,0.1,5000,33,11,18.939393939393938,983898.4890224558,24827.771516821103,158777.18089990818
8,0.1,5000,32,11,19.53125,1045852.2727272728,26141.690340909092,165116.26420454547
8,0.1,5000,31,11,20.161290322580644,1113881.3735691984,27576.210859899722,172061.36127140292
8,0.1,5000,30,11,20.833333333333332,1188808.080808081,29147.095959595958,179693.43434343435
8,0.1,5000,29,11,21.551724137931036,1271598.7460815047,30872.811047454332,188107.51810615067
8,0.1,5000,28,11,22.321428571428573,1363395.1762523192,32775.10435992579,197415.7699443414
8,0.1,5000,27,12,23.14814814814815,1343424.7828074987,32715.763603109277,203963.44307270233
8,0.1,5000,26,12,24.03846153846154,1448057.1992110454,34887.20414201184,215485.3057199211
8,0.1,5000,25,12,25.0,1565466.6666666667,37308.333333333336,228384.66666666666
8,0.1,5000,24,12,26.041666666666668,1697824.0740740742,40020.254629629635,242893.05555555553
8,0.1,5000,23,12,27.17391304347826,1847781.9785759293,43073.015122873345,259293.03717706364
8,0.1,5000,22,12,28.40909090909091,2018608.8154269974,46528.064738292014,277932.36914600554
8,0.1,5000,21,12,29.761904761904763,2214368.858654573,50461.545729402875,299242.97052154195
8,0.1,5000,20,12,31.25,2440166.6666666665,54968.74999999999,323766.6666666667
8,0.1,5000,19,12,32.89473684210526,2702483.841181902,60170.24469067406,352190.6278855032
8,0.1,5000,18,12,34.72222222222222,3009650.205761317,66220.42181069958,385396.9135802469
8,0.1,5000,17,13,36.76470588235294,3113090.2315677404,68768.46553100878,421327.801437317
8,0.1,5000,16,13,39.0625,3512692.307692308,76601.56250000001,467908.41346153844
8,0.1,5000,15,13,41.666666666666664,3994735.042735043,85981.83760683761,523967.094017094
8,0.1,5000,14,13,44.642857142857146,4583579.277864993,97356.25981161695,592285.0078492936
8,0.1,5000,13,13,48.07692307692308,5313299.954483386,111347.57624032773,676747.6331360947
8,0.1,5000,12,13,52.083333333333336,6232735.042735043,128844.81837606839,782917.094017094
8,0.1,5000,11,13,56.81818181818182,7413884.297520662,151153.44882390337,918983.4392879847
8,0.1,5000,10,13,62.5,8966461.538461538,180254.8076923077,1097411.5384615385
8,0.1,5000,9,13,69.44444444444444,11064349.47768281,219276.4719848053,1337932.5261158594
8,0.1,5000,8,14,78.125,12996785.714285716,256015.62500000003,1670551.7857142857
8,0.1,5000,7,14,89.28571428571429,16967172.011661813,329032.4344023324,2158415.306122449
8,0.1,5000,6,14,104.16666666666667,23083015.873015877,440560.5158730159,2908086.507936508
8,0.1,5000,5,14,125.0,33223428.571428575,623910.7142857143,4148064.285714286
8,0.1,5000,4,14,156.25,51886428.571428575,958459.8214285715,6424614.285714285
8,0.1,5000,3,14,208.33333333333334,92197777.77777779,1674771.8253968256,11329753.174603174
8,0.1,5000,2,14,312.5,207344285.71428573,3702633.928571429,25305864.285714287
8,0.1,5000,1,14,625.0,828974285.7142859,14548125.000000002,100560864.28571428
