k,epsilon,N,k2,k1,data_duplication,store_complexity,get_complexity,join_complexity
16,0.1,2500,25,6,6.25,578800.0,19156.25,97600.66666666666
16,0.1,2500,24,6,6.510416666666667,627222.2222222222,20533.13078703704,101452.08333333333
16,0.1,2500,23,6,6.793478260869565,682060.4914933838,22082.250315059864,105795.872715816
16,0.1,2500,22,6,7.1022727272727275,744504.132231405,23834.58161157025,110721.62534435262
16,0.1,2500,21,6,7.440476190476191,816031.7460317462,25828.49111866969,116340.47619047618
16,0.1,2500,20,6,7.8125,898500.0,28111.979166666668,122791.66666666666
16,0.1,2500,19,6,8.223684210526315,994265.9279778394,30745.758310249308,130251.56971375807
16,0.1,2500,18,6,8.680555555555555,1106358.024691358,33807.54886831276,138946.2962962963
16,0.1,2500,17,6,9.191176470588236,1238719.7231833912,37398.17618223761,149169.60784313726
16,0.1,2500,16,6,9.765625,1396562.5,41650.39062500001,161308.85416666666
16,0.1,2500,15,6,10.416666666666666,1586888.8888888888,46741.89814814814,175883.33333333334
16,0.1,2500,14,6,11.160714285714286,1819285.7142857146,52915.072278911575,193602.38095238095
16,0.1,2500,13,6,12.01923076923077,2107159.7633136096,60507.581360946744,215455.71992110452
16,0.1,2500,12,6,13.020833333333334,2469722.222222222,70001.44675925927,242858.3333333333
16,0.1,2500,11,6,14.204545454545455,2935289.2561983475,82104.42493112948,277891.0468319559
16,0.1,2500,10,7,15.625,3040285.7142857146,85622.76785714287,317764.28571428574
16,0.1,2500,9,7,17.36111111111111,3748465.6084656087,103954.7508818342,379382.8042328043
16,0.1,2500,8,7,19.53125,4737857.142857144,129349.88839285716,465083.03571428574
16,0.1,2500,7,7,22.321428571428573,6180000.000000001,166050.01822157437,589435.7142857142
16,0.1,2500,6,7,26.041666666666668,8400476.19047619,222069.69246031746,780030.9523809523
16,0.1,2500,5,7,31.25,12080571.428571431,314102.6785714286,1094464.2857142857
16,0.1,2500,4,7,39.0625,18850714.28571429,481914.06250000006,1670239.2857142857
16,0.1,2500,3,7,52.083333333333336,33467619.04761905,840964.7817460318,2907530.9523809524
16,0.1,2500,2,7,78.125,75201428.57142858,1856685.267857143,6423364.285714285
16,0.1,2500,1,7,156.25,300402857.1428572,7284799.107142858,25300864.285714287
