k,epsilon,N,k2,k1,data_duplication,store_complexity,get_complexity,join_complexity
16,0.1,5000,50,10,6.25,347280.0,13416.25,105942.0
16,0.1,5000,49,10,6.377551020408164,361364.43148688046,13856.648271553518,107811.39108704706
16,0.1,5000,48,10,6.510416666666667,376333.3333333333,14322.482638888889,109794.09722222222
16,0.1,5000,47,10,6.648936170212766,392262.5622453599,14815.838614757808,111899.66047985514
16,0.1,5000,46,10,6.793478260869565,409236.2948960303,15339.024102079396,114138.65784499055
16,0.1,5000,45,10,6.944444444444445,427348.14814814815,15894.598765432098,116522.83950617284
16,0.1,5000,44,10,7.1022727272727275,446702.47933884297,16485.40805785124,119065.28925619835
16,0.1,5000,43,10,7.267441860465116,467415.9004867496,17114.622769064357,121780.61114115738
16,0.1,5000,42,10,7.440476190476191,489619.0476190477,17785.785147392293,124685.14739229025
16,0.1,5000,41,10,7.621951219512195,513458.65556216537,18502.86287923855,127797.23378941107
16,0.1,5000,40,10,7.8125,539100.0,19270.3125,131137.5
16,0.1,5000,39,11,8.012820512820513,515208.89367043215,18826.672793018948,130183.76964915426
16,0.1,5000,38,11,8.223684210526315,542326.8698060942,19644.96505917905,134053.29891714934
16,0.1,5000,37,11,8.445945945945946,571663.4570688625,20525.412543993625,138230.5498373066
16,0.1,5000,36,11,8.680555555555555,603468.0134680134,21474.729938271605,142749.60718294053
16,0.1,5000,35,11,8.928571428571429,638025.974025974,22500.579777365492,147649.44341372914
16,0.1,5000,34,11,9.191176470588236,675665.3035545769,23611.73914753067,152974.78766907833
16,0.1,5000,33,11,9.469696969696969,716764.3375907837,24818.301819851404,158777.18089990818
16,0.1,5000,32,11,9.765625,761761.3636363638,26131.924715909092,165116.26420454547
16,0.1,5000,31,11,10.080645161290322,811166.3986377825,27566.13021473843,172061.36127140292
16,0.1,5000,30,11,10.416666666666666,865575.7575757576,29136.679292929293,179693.43434343435
16,0.1,5000,29,11,10.775862068965518,925690.1956545239,30862.035185385368,188107.51810615067
16,0.1,5000,28,11,11.160714285714286,992337.6623376624,32763.943645640076,197415.7699443414
16,0.1,5000,27,12,11.574074074074074,977626.8861454045,32704.189529035204,203963.44307270233
16,0.1,5000,26,12,12.01923076923077,1053579.8816568048,34875.184911242606,215485.3057199211
16,0.1,5000,25,12,12.5,1138800.0,37295.833333333336,228384.66666666666
16,0.1,5000,24,12,13.020833333333334,1234861.111111111,40007.2337962963,242893.05555555553
16,0.1,5000,23,12,13.58695652173913,1343686.2003780717,43059.42816635161,259293.03717706364
16,0.1,5000,22,12,14.204545454545455,1467644.6280991738,46513.86019283747,277932.36914600554
16,0.1,5000,21,12,14.880952380952381,1609682.5396825399,50446.66477702192,299242.97052154195
16,0.1,5000,20,12,15.625,1773500.0,54953.12499999999,323766.6666666667
16,0.1,5000,19,12,16.44736842105263,1963795.0138504156,60153.797322253005,352190.6278855032
16,0.1,5000,18,12,17.36111111111111,2186604.938271605,66203.06069958847,385396.9135802469
16,0.1,5000,17,13,18.38235294117647,2261346.8192706946,68750.08317806761,421327.801437317
16,0.1,5000,16,13,19.53125,2551153.8461538465,76582.03125000001,467908.41346153844
16,0.1,5000,15,13,20.833333333333332,2900717.948717949,85961.00427350427,523967.094017094
16,0.1,5000,14,13,22.321428571428573,3327692.3076923075,97333.93838304552,592285.0078492936
16,0.1,5000,13,13,24.03846153846154,3856768.3204369596,111323.53777878926,676747.6331360947
16,0.1,5000,12,13,26.041666666666668,4523333.333333333,128818.77670940172,782917.094017094
16,0.1,5000,11,13,28.40909090909091,5379554.990464082,151125.03973299428,918983.4392879847
16,0.1,5000,10,13,31.25,6504923.076923076,180223.5576923077,1097411.5384615385
16,0.1,5000,9,13,34.72222222222222,8025413.105413104,219241.74976258306,1337932.5261158594
16,0.1,5000,8,14,39.0625,9425357.142857146,255976.56250000003,1670551.7857142857
16,0.1,5000,7,14,44.642857142857146,12302448.979591839,328987.79154518957,2158415.306122449
16,0.1,5000,6,14,52.083333333333336,16733809.523809524,440508.43253968254,2908086.507936508
16,0.1,5000,5,14,62.5,24080571.428571433,623848.2142857143,4148064.285714286
16,0.1,5000,4,14,78.125,37600714.28571429,958381.6964285715,6424614.285714285
16,0.1,5000,3,14,104.16666666666667,66800952.38095239,1674667.658730159,11329753.174603174
16,0.1,5000,2,14,156.25,150201428.5714286,3702477.678571429,25305864.285714287
16,0.1,5000,1,14,312.5,600402857.1428573,14547812.500000002,100560864.28571428
