k,epsilon,N,k2,k1,data_duplication,store_complexity,get_complexity,join_complexity
8,0.05,5000,59,5,10.59322033898305,685593.7948865269,16603.239011778227,143024.1740879058
8,0.05,5000,58,5,10.775862068965518,709103.4482758621,17091.037455410227,144180.91557669442
8,0.05,5000,57,5,10.964912280701755,733855.3401046478,17603.147122191443,145396.2296091105
8,0.05,5000,56,5,11.160714285714286,759938.7755102041,18141.26275510204,146674.23469387754
8,0.05,5000,55,5,11.363636363636363,787451.2396694216,18707.23140495868,148019.4214876033
8,0.05,5000,54,5,11.574074074074074,816499.3141289438,19303.06927297668,149436.6941015089
8,0.05,5000,53,5,11.79245283018868,847199.7152011392,19930.980776076896,150931.4168743325
8,0.05,5000,52,5,12.01923076923077,879680.4733727811,20593.380177514795,152509.46745562128
8,0.05,5000,51,5,12.254901960784315,914082.276047674,21292.91618608228,154177.29719338717
8,0.05,5000,50,5,12.5,950560.0,22032.5,155942.0
8,0.05,5000,49,5,12.755102040816327,989284.4648063306,22815.337359433568,157811.39108704706
8,0.05,5000,48,6,13.020833333333334,858703.7037037038,20539.641203703708,143127.43055555556
8,0.05,5000,47,6,13.297872340425531,895207.4845329712,21291.025350837484,145232.99381318846
8,0.05,5000,46,6,13.58695652173913,934108.3805923125,22089.043793320732,147471.99117832386
8,0.05,5000,45,6,13.88888888888889,975621.3991769549,22937.757201646094,149856.17283950618
8,0.05,5000,44,6,14.204545454545455,1019986.2258953168,23841.683884297523,152398.62258953167
8,0.05,5000,43,6,14.534883720930232,1067470.7048855235,24805.863529835948,155113.9444744907
8,0.05,5000,42,6,14.880952380952381,1118374.9055177628,25835.93159486017,158018.48072562358
8,0.05,5000,41,6,15.24390243902439,1173035.8913345232,26938.206424747175,161130.5671227444
8,0.05,5000,40,6,15.625,1231833.3333333333,28119.791666666668,164470.8333333333
8,0.05,5000,39,6,16.025641025641026,1295196.1428884503,29388.697129081746,168062.55752794212
8,0.05,5000,38,6,16.44736842105263,1363610.3416435826,30753.981994459835,171932.0867959372
8,0.05,5000,37,6,16.89189189189189,1437628.4392500608,32225.925249573895,176109.33771609445
8,0.05,5000,36,6,17.36111111111111,1517880.658436214,33816.22942386832,180628.39506172837
8,0.05,5000,35,6,17.857142857142858,1605088.4353741498,35538.265306122456,185528.23129251698
8,0.05,5000,34,6,18.38235294117647,1700080.738177624,37407.367358708194,190853.5755478662
8,0.05,5000,33,6,18.939393939393938,1803813.8965411691,39441.19222528313,196655.96877869603
8,0.05,5000,32,6,19.53125,1917395.8333333335,41660.15625000001,202995.0520833333
8,0.05,5000,31,6,20.161290322580644,2042115.8515435308,44087.972597988206,209940.14915019076
8,0.05,5000,30,6,20.833333333333332,2179481.481481482,46752.31481481481,217572.22222222222
8,0.05,5000,29,6,21.551724137931036,2331264.367816092,49685.64209274673,225986.30598493858
8,0.05,5000,28,6,22.321428571428573,2499557.823129252,52926.232993197285,235294.55782312923
8,0.05,5000,27,6,23.14814814814815,2686849.5656149974,56519.49016918152,245630.109739369
8,0.05,5000,26,6,24.03846153846154,2896114.398422091,60519.60059171598,257151.97238658776
8,0.05,5000,25,6,25.0,3130933.3333333335,64991.666666666664,270051.3333333333
8,0.05,5000,24,6,26.041666666666668,3395648.1481481483,70014.4675925926,284559.7222222222
8,0.05,5000,23,6,27.17391304347826,3695563.9571518586,75684.07372400757,300959.7038437303
8,0.05,5000,22,6,28.40909090909091,4037217.6308539947,82118.62947658403,319599.03581267217
8,0.05,5000,21,6,29.761904761904763,4428737.717309146,89464.7581254724,340909.63718820864
8,0.05,5000,20,6,31.25,4880333.333333333,97906.24999999999,365433.3333333333
8,0.05,5000,19,6,32.89473684210526,5404967.682363804,107676.01569713758,393857.29455216986
8,0.05,5000,18,6,34.72222222222222,6019300.411522634,119072.78806584363,427063.58024691354
8,0.05,5000,17,7,36.76470588235294,5781453.287197231,115580.51161641128,454294.83440434997
8,0.05,5000,16,7,39.0625,6523571.428571429,129369.41964285716,500875.4464285714
8,0.05,5000,15,7,41.666666666666664,7418793.65079365,145930.55555555556,556934.126984127
8,0.05,5000,14,7,44.642857142857146,8512361.516034987,166072.3396501458,625252.0408163266
8,0.05,5000,13,7,48.07692307692308,9867557.058326289,190922.9712595097,709714.6661031276
8,0.05,5000,12,7,52.083333333333336,11575079.365079366,222095.73412698414,815884.126984127
8,0.05,5000,11,7,56.81818181818182,13768642.266824083,261963.54781582052,951950.4722550177
8,0.05,5000,10,7,62.5,16652000.000000002,314133.9285714286,1130378.5714285714
8,0.05,5000,9,7,69.44444444444444,20548077.601410937,384311.0670194004,1370899.5590828923
8,0.05,5000,8,7,78.125,25993571.428571433,481953.12500000006,1706266.0714285714
8,0.05,5000,7,7,89.28571428571429,33934344.023323625,623689.8688046648,2194129.5918367347
8,0.05,5000,6,7,104.16666666666667,46166031.74603175,841016.8650793651,2943800.7936507934
8,0.05,5000,5,7,125.0,66446857.14285715,1199696.4285714286,4183778.5714285714
8,0.05,5000,4,7,156.25,103772857.14285715,1856763.392857143,6460328.571428572
8,0.05,5000,3,7,208.33333333333334,184395555.55555558,3269335.317460318,11365467.460317459
8,0.05,5000,2,7,312.5,414688571.42857146,7284955.357142858,25341578.57142857
8,0.05,5000,1,7,625.0,1657948571.4285717,28855625.000000004,100596578.57142857
