k,epsilon,N,k2,k1,data_duplication,store_complexity,get_complexity,join_complexity
8,0.05,2500,30,3,10.416666666666666,1105407.4074074074,24223.37962962963,125250.0
8,0.05,2500,29,3,10.775862068965518,1181839.0804597703,25719.25782798256,127508.30360681727
8,0.05,2500,28,3,11.160714285714286,1266564.6258503404,27370.854591836738,130001.19047619047
8,0.05,2500,27,3,11.574074074074074,1360832.1902149061,29201.10310928212,132763.16872427982
8,0.05,2500,26,3,12.01923076923077,1466134.1222879686,31237.364398422094,135835.4043392505
8,0.05,2500,25,3,12.5,1584266.6666666667,33512.5,139267.3333333333
8,0.05,2500,24,3,13.020833333333334,1717407.4074074076,36066.26157407408,143118.75
8,0.05,2500,23,3,13.58695652173913,1868216.761184625,38947.1093257719,147462.53938248268
8,0.05,2500,22,3,14.204545454545455,2039972.4517906336,42214.617768595046,152388.29201101928
8,0.05,2500,21,3,14.880952380952381,2236749.8110355255,45942.696523053666,158007.14285714284
8,0.05,2500,20,3,15.625,2463666.6666666665,50223.958333333336,164458.3333333333
8,0.05,2500,19,3,16.44736842105263,2727220.683287165,55175.7271468144,171918.23638042476
8,0.05,2500,18,3,17.36111111111111,3035761.316872428,60948.431069958846,180612.96296296298
8,0.05,2500,17,3,18.38235294117647,3400161.476355248,67737.52883506345,190836.27450980392
8,0.05,2500,16,3,19.53125,3834791.666666667,75800.78125000001,202975.5208333333
8,0.05,2500,15,3,20.833333333333332,4358962.962962964,85483.79629629628,217550.0
8,0.05,2500,14,3,22.321428571428573,4999115.646258504,97258.71598639457,235269.04761904763
8,0.05,2500,13,3,24.03846153846154,5792228.796844182,111784.39349112425,257122.38658777118
8,0.05,2500,12,3,26.041666666666668,6791296.296296297,130002.89351851854,284525.0
8,0.05,2500,11,3,28.40909090909091,8074435.2617079895,153299.75895316806,319557.7134986226
8,0.05,2500,10,3,31.25,9760666.666666666,183781.24999999997,365383.3333333333
8,0.05,2500,9,3,34.72222222222222,12038600.823045269,224777.5205761317,427001.85185185185
8,0.05,2500,8,3,39.0625,15221666.666666668,281809.8958333333,512702.0833333333
8,0.05,2500,7,3,44.642857142857146,19862176.8707483,364585.4591836735,637054.7619047619
8,0.05,2500,6,3,52.083333333333336,27008518.518518522,491487.26851851854,827650.0
8,0.05,2500,5,3,62.5,38854666.666666664,700895.8333333334,1142083.3333333333
8,0.05,2500,4,3,78.125,60651666.66666667,1084453.1250000002,1717858.3333333333
8,0.05,2500,3,3,104.16666666666667,107720740.74074075,1908900.4629629632,2955150.0
8,0.05,2500,2,3,156.25,242136666.6666667,4252239.583333333,6470983.333333333
8,0.05,2500,1,3,312.5,967606666.6666667,16837812.500000004,25348483.333333332
