k,epsilon,N,k2,k1,data_duplication,store_complexity,get_complexity,join_complexity
8,0.05,10000,116,8,10.775862068965518,443189.65517241386,12237.663495838287,169183.88822829965
8,0.05,10000,115,8,10.869565217391305,450824.1965973535,12409.262759924386,169784.02646502835
8,0.05,10000,114,9,10.964912280701755,407697.4111692487,11655.744502581992,156510.4185903355
8,0.05,10000,113,9,11.061946902654867,414847.0688559967,11819.956752899818,157141.36798322326
8,0.05,10000,112,9,11.160714285714286,422188.2086167801,11988.201530612245,157788.53458049888
8,0.05,10000,111,9,11.26126126126126,429727.7457637818,12160.617825032237,158452.49168087007
8,0.05,10000,110,9,11.363636363636363,437472.91092745634,12337.350780532597,159133.8383838384
8,0.05,10000,109,9,11.46788990825688,445431.2674765499,12518.552029851584,159833.2010025344
8,0.05,10000,108,9,11.574074074074074,453610.73007163545,12704.380048773053,160551.23456790124
8,0.05,10000,107,9,11.682242990654206,462019.5844372629,12895.000533768114,161288.62443105172
8,0.05,10000,106,9,11.79245283018868,470666.50844507734,13090.58680431945,162046.08797120367
8,0.05,10000,105,9,11.904761904761905,479560.5946082137,13291.320231796422,162824.37641723355
8,0.05,10000,104,9,12.01923076923077,488711.3740959895,13497.39069690993,163624.27679158447
8,0.05,10000,103,9,12.135922330097088,498128.8423874908,13708.997077952683,164446.61398602865
8,0.05,10000,102,9,12.254901960784315,507823.4866931522,13926.347772224359,165292.2529796232
8,0.05,10000,101,9,12.376237623762377,517806.31528499385,14149.66125325404,166162.101210121
8,0.05,10000,100,9,12.5,528088.8888888889,14379.166666666666,167057.11111111112
8,0.05,10000,99,9,12.626262626262626,538683.3543062499,14615.10446779807,167978.28282828283
8,0.05,10000,98,9,12.755102040816327,549602.4804479614,14857.72710444722,168926.6671294368
8,0.05,10000,97,9,12.88659793814433,560859.6969804325,15107.299748467778,169903.3685242262
8,0.05,10000,96,9,13.020833333333334,572469.1358024692,15364.101080246915,170909.54861111112
8,0.05,10000,95,9,13.157894736842104,584445.67559249,15628.424130501693,171946.4296706679
8,0.05,10000,94,9,13.297872340425531,596804.9896886474,15900.577184246264,173015.29852623108
8,0.05,10000,93,9,13.440860215053764,609563.597589959,16180.884752251382,174117.510694878
8,0.05,10000,92,9,13.58695652173913,622738.9203948751,16469.68861583701,175254.49485402225
8,0.05,10000,91,9,13.736263736263735,636349.3405251647,16767.348951414882,176427.75765138402
8,0.05,10000,90,9,13.88888888888889,650414.2661179698,17074.245541838136,177638.88888888888
8,0.05,10000,89,9,14.044943820224718,664954.2005077922,17390.779082326866,178889.567114141
8,0.05,10000,88,9,14.204545454545455,679990.8172635445,17717.37258953168,180181.56565656565
8,0.05,10000,87,10,14.367816091954023,625992.3371647509,16802.18655040296,170405.64803804993
8,0.05,10000,86,10,14.534883720930232,640482.4229313142,17121.890210924823,171786.01946998376
8,0.05,10000,85,10,14.705882352941176,655485.1211072664,17452.076124567473,173213.6678200692
8,0.05,10000,84,10,14.880952380952381,671024.9433106577,17793.22562358277,174690.8163265306
8,0.05,10000,83,10,15.060240963855422,687127.8850341125,18145.84845405719,176219.8214544927
8,0.05,10000,82,10,15.24390243902439,703821.5348007139,18510.484830458063,177803.18262938727
8,0.05,10000,81,10,15.432098765432098,721135.1928059746,18887.707666514252,179443.55281207134
8,0.05,10000,80,10,15.625,739100.0,19278.125,181143.75
8,0.05,10000,79,10,15.822784810126583,757749.0786732896,19682.382630988624,182906.76974843774
8,0.05,10000,78,10,16.025641025641026,777117.6857330705,20101.16699539777,184735.79881656804
8,0.05,10000,77,10,16.233766233766232,797243.3799966268,20535.20829819531,186634.2300556586
8,0.05,10000,76,10,16.44736842105263,818166.2049861494,20985.283933518,188605.67867036012
8,0.05,10000,75,10,16.666666666666668,839928.888888889,21452.222222222226,190654.0
8,0.05,10000,74,10,16.89189189189189,862577.0635500365,21936.90650109569,192783.30898466034
8,0.05,10000,73,10,17.123287671232877,886159.5045974853,22440.279602176768,194998.00150121975
8,0.05,10000,72,10,17.36111111111111,910728.3950617284,22963.3487654321,197302.77777777778
