k,epsilon,N,k2,k1,data_duplication,store_complexity,get_complexity,join_complexity
16,0.05,2500,25,3,6.25,1157600.0,33506.25,139267.3333333333
16,0.05,2500,24,3,6.510416666666667,1254444.4444444445,36059.75115740741,143118.75
16,0.05,2500,23,3,6.793478260869565,1364120.9829867675,38940.315847511025,147462.53938248268
16,0.05,2500,22,3,7.1022727272727275,1489008.26446281,42207.515495867774,152388.29201101928
16,0.05,2500,21,3,7.440476190476191,1632063.4920634923,45935.25604686319,158007.14285714284
16,0.05,2500,20,3,7.8125,1797000.0,50216.145833333336,164458.3333333333
16,0.05,2500,19,3,8.223684210526315,1988531.8559556787,55167.503462603876,171918.23638042476
16,0.05,2500,18,3,8.680555555555555,2212716.049382716,60939.75051440329,180612.96296296298
16,0.05,2500,17,3,9.191176470588236,2477439.4463667823,67728.33765859286,190836.27450980392
16,0.05,2500,16,3,9.765625,2793125.0,75791.01562500001,202975.5208333333
16,0.05,2500,15,3,10.416666666666666,3173777.7777777775,85473.37962962962,217550.0
16,0.05,2500,14,3,11.160714285714286,3638571.428571429,97247.55527210886,235269.04761904763
16,0.05,2500,13,3,12.01923076923077,4214319.526627219,111772.37426035503,257122.38658777118
16,0.05,2500,12,3,13.020833333333334,4939444.444444444,129989.8726851852,284525.0
16,0.05,2500,11,3,14.204545454545455,5870578.512396695,153285.5544077135,319557.7134986226
16,0.05,2500,10,3,15.625,7094000.0,183765.62499999997,365383.3333333333
16,0.05,2500,9,3,17.36111111111111,8746419.75308642,224760.15946502058,427001.85185185185
16,0.05,2500,8,3,19.53125,11055000.0,281790.3645833333,512702.0833333333
16,0.05,2500,7,3,22.321428571428573,14420000.000000002,364563.13775510207,637054.7619047619
16,0.05,2500,6,3,26.041666666666668,19601111.111111112,491461.2268518519,827650.0
16,0.05,2500,5,3,31.25,28188000.0,700864.5833333334,1142083.3333333333
16,0.05,2500,4,3,39.0625,43985000.0,1084414.0625000002,1717858.3333333333
16,0.05,2500,3,3,52.083333333333336,78091111.1111111,1908848.3796296297,2955150.0
16,0.05,2500,2,3,78.125,175470000.0,4252161.458333333,6470983.333333333
16,0.05,2500,1,3,156.25,700940000.0,16837656.250000004,25348483.333333332
